cluster_id,representative,total_count,members
2,AFFECTED_BY,692,398
0,PLANTED_IN,577,260
5,REQUIRES,50,42
13,AFFECTED_BY_RELATIONSHIP,25,16
14,CUT_ABOVE_LEAF,22,21
16,USES_MANURE_IN,13,13
22,EMPLOYED_IN_MARKET_GARDENING,10,10
3,FRAME_SUPPORTS,8,6
4,REQUIRES_MORE_HUMAN_RESOURCES_THAN,8,7
8,REPLACED,7,7
7,RIPENS_IN,6,6
10,MOVE_BACK,5,5
9,TURNIPS_AND_RADISHES_HARVESTED_IN_SUMMER,5,5
34,COUCHED_IN,4,4
1,PERSIL_GROWS_INTO,4,4
6,GATHERS_AT,4,4
30,PATH_PREPARATION_DEPTH,3,3
36,BURIED_WITH,3,3
24,BREAK_UP_LAYER,3,3
11,GREY_ROMAINE_WAS_SOWN_AND_PLANTED_IN,3,3
12,MANNES_CONTAIN,3,2
29,SEED_STORAGE_LIFETIME,3,2
18,CAULIFLOWER_WAS_PLANTED_IN,3,3
19,FILL_PATH_WITH,2,2
38,ADOS_CONSTRUCTED_WITH,2,2
17,ACQUIRED_QUALITY,2,2
33,DOORMAT_TIGHTENING,2,2
15,HAS_ROOT_DEPTH_REACHING,2,2
21,ESTABLISHED_FOR_ESPALIERS_OF,2,2
44,AIMED_AT_PRODUCING_MANUAL_FOR,1,1
27,ASPARAGUS_VARIEY_GROWN_IN_GREENHOUSE,1,1
31,CANBEPRUNED,1,1
41,BELL_MARKED_AT,1,1
48,CULTIVATEDON_SOUTH_COAST,1,1
47,COIFFEE,1,1
35,FOUNDED_PRIZE,1,1
25,FEARLESS_OF,1,1
49,EXTRACTED_FROM_ECONOMICS_DATA,1,1
45,ENTITY_HISTORY_ASSOCIATION,1,1
39,IS_MODE_OF_TRANSPORT,1,1
37,IS_PERENNIAL_IN,1,1
26,HANG_IN_CELLAR_UPSIDE_DOWN_FROM,1,1
43,HAS_SPECIFIC_NUMBER_OF_HORSES,1,1
42,LOST_FIRES,1,1
40,KILLS_TARGET,1,1
50,MAIN_STEM_OF,1,1
20,POST_FIXATION,1,1
28,RARELY_MARRY_OUTSIDE_OF,1,1
23,WAS_KNOWN_AS_EARLY_PRODUCE_TYPE,1,1
46,WATERCRESS_SORREL_PLANTED_AFTER,1,1
32,WATERED_WITHIRRIGATION_SYSTEM,1,1
