cluster_id,representative_llm,representative_llm_free,representative,total_count,members
406,PLANTED_IN,LOCATION_OF_PLANTING,PLANTED_IN,84,1
585,GROWN_IN,ORIGINATED_FROM,GROWN_IN,57,1
800,AFFECTED_BY,AFFECTS,AFFECTED_BY,57,1
385,GROWS_IN,LOCATION_OF_GROWTH,GROWS_IN,28,1
672,COVERED_WITH,COVERING_RELATIONSHIP,COVERED_WITH,24,1
308,IS_HARVESTED_IN,HARVESTING_LOCATION,IS_HARVESTED_IN,15,1
59,TREATED_WITH,TREATMENT_RELATIONSHIP,TREATED_WITH,13,1
632,IS_AFFECTED_BY,AFFECTED_BY_RELATIONSHIP,IS_AFFECTED_BY,12,1
404,IS_TYPE_OF,INSTANCE_OF,IS_TYPE_OF,8,1
21,USES_EQUIPMENT,USES_EQUIPMENT,USES_EQUIPMENT,7,1
191,RELATES_TO,ASSOCIATED_WITH,RELATES_TO,7,1
446,CONTAINS,CONTAINMENT,CONTAINS,7,1
397,GROWN_UNDER,GROWN_IN_ENVIRONMENT,GROWN_UNDER,7,1
337,LOCATED_IN,CONTAINMENT_RELATIONSHIP,LOCATED_IN,6,1
17,VARIETY_OF,TYPE_OF_RELATIONSHIP,VARIETY_OF,6,1
611,CROP_PLANTING_RELATIONSHIP,CROP_PLANTING_RELATIONSHIP,CROP_PLANTING_RELATIONSHIP,6,1
295,PLANTED_AFTER,PLANTING_RELATIONSHIP,PLANTED_AFTER,6,1
328,IS_VARIETY_OF,IS_TYPE_OF,IS_VARIETY_OF,6,1
86,USED_FOR,PURPOSE,USED_FOR,6,1
530,PROTECTED_FROM,PROTECTION_RELATIONSHIP,PROTECTED_FROM,6,1
657,AFFECTED_BY_RELATIONSHIP,AFFECTS,AFFECTED_BY_RELATIONSHIP,6,1
156,USED_WITH,USED_IN_CONTEXT_OF,USED_WITH,6,1
106,SOWN_IN,PLANTED,SOWN_IN,6,1
39,USES,USES_RELATIONSHIP,USES,5,1
476,IS_FILLED_WITH,CONTAINMENT_RELATIONSHIP,IS_FILLED_WITH,5,1
336,IS_PLANTED_IN,LOCATION_OF_PLANTING,IS_PLANTED_IN,5,1
780,HAS_VARIETY,HAS_TYPE_OR_VARIETY,HAS_VARIETY,5,1
427,HAS_GROWTH_STAGE,HAS_DEVELOPMENTAL_STAGE,HAS_GROWTH_STAGE,5,1
417,IS_PROTECTED_BY,PROTECTION_RELATIONSHIP,IS_PROTECTED_BY,5,1
327,HARVESTED_IN,SOURCE_OF_ORIGIN,HARVESTED_IN,5,1
531,AFFECTED_BY_PEST_OR_DISEASE,AFFECTED_BY_PEST_OR_DISEASE,AFFECTED_BY_PEST_OR_DISEASE,5,1
649,DIFFERS_FROM,INEQUALITY_RELATIONSHIP,DIFFERS_FROM,5,1
665,EQUIPPED_WITH,HAS_EQUIPMENT,EQUIPPED_WITH,5,1
429,PLANTED_IN_ROWS,PLANTING_PATTERN,PLANTED_IN_ROWS,5,1
842,HAS_PART,COMPONENT_OF,HAS_PART,5,1
307,PEST_AFFECTS_CROP,PEST_HARM_RELATIONSHIP,PEST_AFFECTS_CROP,5,1
186,USED_BY,DEPENDENCY,USED_BY,4,1
771,CROP_GROWTH_STAGE_RELATIONSHIP,CROP_DEVELOPMENT_PHASE,CROP_GROWTH_STAGE_RELATIONSHIP,4,1
51,TRANSPLANTED_INTO,CONTAINMENT_RELATIONSHIP,TRANSPLANTED_INTO,4,1
87,TYPE_OF_CROP_VARIETY,CROP_TYPE,TYPE_OF_CROP_VARIETY,4,1
155,TRANSPLANTED_TO,MOVED_TO,TRANSPLANTED_TO,4,1
181,SOWN_AT,PLANTED_AT,SOWN_AT,4,1
470,AFFECTED_BY_WEATHER_CONDITIONS,AFFECTED_BY_WEATHER,AFFECTED_BY_WEATHER_CONDITIONS,4,1
30,USED_IN,CONTAINS_OR_USES,USED_IN,4,1
782,CROP_VARIETY,CROP_TYPE,CROP_VARIETY,4,1
834,CULTIVATED_IN,GROWN_AT_LOCATION,CULTIVATED_IN,4,1
838,IS_USED_FOR,PURPOSE,IS_USED_FOR,4,1
604,CROP_TYPE,CROP_INFORMATION,CROP_TYPE,4,1
720,FLOWED_THROUGH,FLOWED_THROUGH,FLOWED_THROUGH,4,1
287,PLACED_ON,CONTAINMENT_RELATIONSHIP,PLACED_ON,4,1
516,PLANTED_IN_MONTH,PLANTING_TIME,PLANTED_IN_MONTH,4,1
786,PEST_AFFECTED_BY,PEST_AFFECTS,PEST_AFFECTED_BY,4,1
11,WATERED_BY,HYDRATED_BY,WATERED_BY,4,1
22,WATERED_WITH,IRRIGATED_BY,WATERED_WITH,4,1
704,CAUSES_DAMAGE_TO,CAUSE_DAMAGE,CAUSES_DAMAGE_TO,4,1
859,AFFECTED_BY_WEATHER_CONDITION,AFFECTED_BY_ENVIRONMENTAL_CONDITIONS,AFFECTED_BY_WEATHER_CONDITION,3,1
74,TRANSPLANTED_UNDER,TRANSPLANTATION_STATUS,TRANSPLANTED_UNDER,3,1
112,SEED_HARVESTED_FROM,SEED_SOURCE,SEED_HARVESTED_FROM,3,1
235,PLANTED_ON_DATE,PLANTING_DATE,PLANTED_ON_DATE,3,1
250,PLANTED_IN_SEASON,PLANTING_TIME,PLANTED_IN_SEASON,3,1
408,PLANTED_WITH,PLANTING_METHOD,PLANTED_WITH,3,1
322,PLANTED_UNDER,LOCATED_UNDER,PLANTED_UNDER,3,1
686,REPLACED_WITH_REAL_RELATION_TYPE,REPLACEMENT_RELATION,REPLACED_WITH_REAL_RELATION_TYPE,3,1
342,REQUIRES,DEPENDENCY,REQUIRES,3,1
75,STORED_IN,CONTAINMENT,STORED_IN,3,1
394,IS_RELATED_TO,ASSOCIATED_WITH,IS_RELATED_TO,3,1
338,PLANTED_IN_AUTUMN,PLANTING_SEASON,PLANTED_IN_AUTUMN,3,1
375,PLACED_IN,CONTAINED_IN,PLACED_IN,3,1
353,PLANTED_IN_POTTING_SOIL,CONTAINS_PLANTING_MATERIAL,PLANTED_IN_POTTING_SOIL,3,1
378,PLANTED_AT,LOCATION_OF_ORIGIN,PLANTED_AT,3,1
527,MIXED_WITH,COMBINED_WITH,MIXED_WITH,3,1
194,MATURITY_TIME_IN_MONTHS,MATURITY_PERIOD,MATURITY_TIME_IN_MONTHS,3,1
616,CAUSED_BY,CAUSE_EFFECT,CAUSED_BY,3,1
198,MADE_OF,COMPOSITIONAL_RELATIONSHIP,MADE_OF,3,1
582,HAS_COST,HAS_PRICE_OR_COST,HAS_COST,3,1
785,INVOLVES_OPERATION,INVOLVES_ACTION,INVOLVES_OPERATION,3,1
557,IS_COVERED_WITH,COVERING_RELATIONSHIP,IS_COVERED_WITH,3,1
728,EXPOSED_TO,EXPOSURE_RELATIONSHIP,EXPOSED_TO,3,1
774,GROWTH_STAGE,DEVELOPMENT_PHASE,GROWTH_STAGE,3,1
445,GROWS_UNDER,LOCATION_RELATIONSHIP,GROWS_UNDER,3,1
770,GROWS,INCREASES_IN_SIZE,GROWS,3,1
350,GROWN_ON,ORIGINATED_FROM,GROWN_ON,3,1
764,HARVESTED_FROM,SOURCE_OF_ORIGIN,HARVESTED_FROM,3,1
509,COLOCATED_WITH,PHYSICALLY_LOCATED_WITH,COLOCATED_WITH,3,1
618,FRAME_SUPPORTS,STRUCTURAL_RELATIONSHIP,FRAME_SUPPORTS,3,1
759,HAS_CHARACTERISTICS,HAS_PROPERTIES,HAS_CHARACTERISTICS,3,1
761,CROP_VARIEGY,VARIETY_OF_CROPS,CROP_VARIEGY,3,1
685,CULTIVATED_DURING,CULTIVATION_TIME,CULTIVATED_DURING,3,1
815,CULTIVATED_USING,CULTIVATION_METHOD,CULTIVATED_USING,3,1
841,AFFECTS_GROWTH_OF,AFFECTS_DEVELOPMENT_OF,AFFECTS_GROWTH_OF,3,1
169,SPREAD_WITH,SPREADING_RELATION,SPREAD_WITH,2,1
431,EQUIPMENT_USED_IN_STRUCTURE,CONTAINS_EQUIPMENT,EQUIPMENT_USED_IN_STRUCTURE,2,1
196,SEED_COLLECTION_METHOD,SEEDING_METHOD,SEED_COLLECTION_METHOD,2,1
651,FACE_SOUTH,DIRECTION_FACING,FACE_SOUTH,2,1
218,SEEDLINGS_WERE_THINNED_OUT,SEEDLING_THINNING,SEEDLINGS_WERE_THINNED_OUT,2,1
58,SEED_STORAGE_LIFETIME,SEED_STORAGE_DURATION,SEED_STORAGE_LIFETIME,2,1
687,FERTILIZER_RELATIONSHIP,FERTILIZER_RELATED_TO,FERTILIZER_RELATIONSHIP,2,1
787,CULTIVATED_VARIETY,CROP_TYPE,CULTIVATED_VARIETY,2,1
571,GROWS_ON,LOCATION_RELATIONSHIP,GROWS_ON,2,1
621,GROWS_TO_HEIGHT,HEIGHT_REACHES,GROWS_TO_HEIGHT,2,1
566,GROWN_IN_SEQUENCE,SEQUENTIAL_GROWTH,GROWN_IN_SEQUENCE,2,1
197,REQUIRES_MORE_HUMAN_RESOURCES_THAN,REQUIRES_MORE_RESOURCES_THAN,REQUIRES_MORE_HUMAN_RESOURCES_THAN,2,1
622,GROWS_DURING,GROWTH_PHASE,GROWS_DURING,2,1
858,GROWN_AT_LOCATION,GROWN_IN_PLACE,GROWN_AT_LOCATION,2,1
804,GROWN_FROM,ORIGINATED_FROM,GROWN_FROM,2,1
209,REQUIRES_WATERING,REQUIRES_MAINTENANCE,REQUIRES_WATERING,2,1
71,SIMILAR_TO,SIMILARITY,SIMILAR_TO,2,1
710,CROP_VARIEIES,CROP_VARIETIES,CROP_VARIEIES,2,1
