cluster_id,name,count,representative,representative_llm,representative_llm_free
0,MADE_OF,3,MADE_OF,MADE_OF,COMPOSED_OF
0,MADE_FROM,2,MADE_OF,MADE_OF,COMPOSED_OF
0,IS_CREATED_FROM,1,MADE_OF,MADE_OF,COMPOSED_OF
0,IS_CREATED_IN,1,MADE_OF,MADE_OF,COMPOSED_OF
0,IS_MADE_OF,1,MADE_OF,MADE_OF,COMPOSED_OF
0,MADE_WITH,1,MADE_OF,MADE_OF,COMPOSED_OF
1,IS_HARVESTED_IN,15,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_IN,5,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_FROM,3,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_AT,2,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_DURING,2,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED,1,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_BY,1,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_IN_MONTH,1,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_IN_MONTHS_OF,1,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,HARVESTED_ON,1,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
1,IS_HARVESTED,1,IS_HARVESTED_IN,HARVESTED_IN,HARVESTED_FROM
2,GIVEN_AIR_GRADUALLY,1,TREATED_WITH_AIR,GIVEN_AIR_GRADUALLY,AIR_TREATMENT
2,TREATED_WITH_AIR,1,TREATED_WITH_AIR,GIVEN_AIR_GRADUALLY,AIR_TREATMENT
3,EMPLOYED_IN_MARKET_GARDENING,1,EMPLOYED_IN_MARKET_GARDENING,EMPLOYED_IN_MARKET_GARDENING,MARKET_GARDENING_EMPLOYMENT
3,MARKET_GARDENER_WORKERS_FROM_PROVINCE,1,EMPLOYED_IN_MARKET_GARDENING,EMPLOYED_IN_MARKET_GARDENING,MARKET_GARDENING_EMPLOYMENT
4,WATERED_BY,4,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_WITH,4,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_AT,2,WATERED_BY,WATERED_BY,WATERED_BY
4,AFFECTED_BY_WATERING,1,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_AGAINST,1,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_AT_TIME,1,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_DUE_TO,1,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_IN,1,WATERED_BY,WATERED_BY,WATERED_BY
4,WATERED_ON,1,WATERED_BY,WATERED_BY,WATERED_BY
5,CONTAINS,7,CONTAINS,CONTAINS,CONTAINS_RELATION
5,CONTAINING,1,CONTAINS,CONTAINS,CONTAINS_RELATION
5,CONTAINS_OR_HAS,1,CONTAINS,CONTAINS,CONTAINS_RELATION
5,CONTAINS_OR_HAS_PARTS,1,CONTAINS,CONTAINS,CONTAINS_RELATION
6,AUTHORED_BY,2,AUTHORED_BY,PUBLISHED_BY,CREATED_BY
6,PUBLISHED_AT,1,AUTHORED_BY,PUBLISHED_BY,CREATED_BY
6,PUBLISHED_BY,1,AUTHORED_BY,PUBLISHED_BY,CREATED_BY
7,HAS_PART,5,HAS_PART,HAS_PART,PART_WHOLE_RELATIONSHIP
7,IS_PART_OF,2,HAS_PART,HAS_PART,PART_WHOLE_RELATIONSHIP
