cluster_id,representative_llm,representative_llm_free,representative,total_count,members
24,PLANTED_IN,PLANTED_IN,PLANTED_IN,162,42
76,GROWN_IN,GROWN_IN_LOCATION,GROWN_IN,140,38
3,AFFECTED_BY,AFFECTED_BY,AFFECTED_BY,98,22
18,HARVESTED_IN,HARVESTING_LOCATION_OR_TIME,IS_HARVESTED_IN,45,21
147,USED_FOR,USED_FOR,USED_FOR,42,18
88,COVERED_WITH,COVERED_WITH,COVERED_WITH,39,8
82,LOCATED_IN,LOCATED_AT_OR_NEAR,LOCATED_IN,29,16
50,RELATES_TO,ASSOCIATED_WITH,RELATES_TO,28,14
60,WATERED_BY,WATERING_RELATIONSHIP,WATERED_BY,25,15
34,GROWTH_STAGE,GROWTH_STAGE_RELATIONSHIP,HAS_GROWTH_STAGE,24,13
166,CROP_VARIETY,CROP_VARIETY_TYPE,CROP_TYPE,20,7
16,TRANSPLANTED_TO,TRANSPLANTED_TO_OR_FROM,TRANSPLANTED_TO,19,10
112,VARIETY_OF,HAS_VARIETY,VARIETY_OF,19,5
28,USES_EQUIPMENT,USES_EQUIPMENT_OR_TOOL,USES_EQUIPMENT,17,8
46,AFFECTED_BY_PEST_OR_DISEASE,AFFECTED_BY_PEST_OR_DISEASE,AFFECTED_BY_PEST_OR_DISEASE,17,8
247,PROTECTED_FROM,PROTECTION_RELATION,PROTECTED_FROM,17,7
40,TREATED_WITH,TREATED_WITH,TREATED_WITH,16,4
64,GROWN_UNDER,LOCATED_UNDER,GROWN_UNDER,15,5
1,CONTAINS,CONTAINMENT,CONTAINS,15,9
15,REQUIRES,REQUIREMENT,REQUIRES,14,11
7,PLANTED_IN_MONTH,PLANTING_TIME,PLANTED_IN_MONTH,14,9
62,AFFECTS_GROWTH_OF,AFFECTS_AGRICULTURAL_FACTOR,AFFECTS_GROWTH_OF,12,9
143,HAS_PART,PART_WHOLE_RELATIONSHIP,HAS_PART,12,6
29,REQUIRES_WATERING,REQUIRES_WATERING_OR_MAINTENANCE,REQUIRES_WATERING,11,9
30,IS_TYPE_OF,INSTANCE_OF,IS_TYPE_OF,11,3
105,AFFECTED_BY_RELATIONSHIP,AFFECTS_RELATIONSHIP,AFFECTED_BY_RELATIONSHIP,11,4
57,HAS_CHARACTERISTICS,HAS_ATTRIBUTE,HAS_CHARACTERISTICS,10,8
104,CAUSES_DAMAGE_TO,CAUSES_DAMAGE,CAUSES_DAMAGE_TO,10,5
17,CROP_PLANTING_RELATIONSHIP,CROP_MANAGEMENT_RELATIONSHIP,CROP_PLANTING_RELATIONSHIP,9,4
141,MADE_OF,COMPOSED_OF,MADE_OF,9,6
137,DIFFERS_FROM,DIFFERS_FROM,DIFFERS_FROM,8,4
36,SIMILAR_TO,SIMILARITY_RELATION,SIMILAR_TO,8,6
308,PEST_AFFECTS_CROP,AGENT_AFFECTS_CROP,PEST_AFFECTS_CROP,7,2
80,EQUIPPED_WITH,EQUIPPED_WITH_EQUIPMENT,EQUIPPED_WITH,7,3
20,USED_AS_FERTILIZER,FERTILIZER_USAGE,USED_AS_FERTILIZER,7,5
138,PLANTED_IN_POTTING_SOIL,POTTED_IN,PLANTED_IN_POTTING_SOIL,6,4
39,MIXED_WITH,COMBINED_WITH,MIXED_WITH,6,4
13,SOIL_CONDITION_IMPACTS_PLANT,SOIL_CONDITION_AFFECTS_PLANTS,DIFFERENT_SOIL_CONDITIONS,6,6
150,SUPPORTED_BY,CONTROLLED_BY,SUPPORTED_BY,6,5
78,IS_NEEDED_TO_FERTILIZE,REQUIRES_FERTILIZATION,IS_NEEDED_TO_FERTILIZE,6,4
229,SPREAD_OVER,SPREAD_RELATION,SPREAD_WITH,6,5
43,CONSISTS_OF,COMPOSED_OF,CONSISTS_OF,6,5
31,BREAK_UP_AND_MIX_WITH_NEW_MANURE,ADD_MANURE_TO,USES_MANURE_IN,6,6
44,PROTECTED_FROM_FROST,PROTECTED_FROM_FROST,PROTECTED_FROM_FROST,6,5
246,STORED_IN,CONTAINS,STORED_IN,6,3
153,INVOLVES_OPERATION,INVOLVES_OPERATION,INVOLVES_OPERATION,5,2
79,PUBLISHED_BY,PUBLICATION_INFO,AUTHORED_BY,5,4
6,REPLACES,ALTERNATIVENESS,REPLACED,5,5
148,COVERED_WITH_INSTEAD_OF_MULCH,COVERED_WITH_MATERIAL,COVERS_SOIL_FOR,5,5
38,SEED_CHARACTERISTIC,SEED_CHARACTERISTICS,HAVE_SIMILAR_SEED_APPEARANCE_TO,5,4
9,CUTTING_METHOD,CUTTING_RELATION,CUT_ABOVE_LEAF,5,4
114,STRUCTURED_BY,STRUCTURAL_RELATIONSHIP,STRUCTURED_BY,5,5
49,FRUIT_PRODUCTION,HAS_FRUIT,HAS_FRUIT,5,5
22,READY_TO_HARVEST,READY_FOR_USE,READY_TO_HARVEST,5,5
84,SEED_COLLECTION_METHOD,SEED_ACQUISITION_METHOD,SEED_COLLECTION_METHOD,4,3
101,USES_SOIL_TYPE,ASSOCIATED_WITH_SOIL_TYPE,SOIL_TYPE_IN,4,4
89,REQUIRES_SPECIFIC_PLOUGHING_METHODS,REQUIRES_SPECIFIC_METHODS,REQUIRES_SPECIFIC_SEALING_METHODS,4,4
232,PRODUCES,PRODUCES_SOMETHING,PRODUCES_SEEDS,4,3
73,COOCCURS_WITH,CO_OCCURRENCE,OCCURS_IN,4,4
110,PREFERRED_OVER,PREFERRED_OVER,PREFERRED_BY,4,4
14,BELONGS_TO_FAMILY,BELONGS_TO_OR_HAS_SUBORDINATE,OWNS,4,4
276,LETTUCE_GROWTH_STAGE,LETTUCE_CHARACTERISTICS,LETTUCE_GROWTH_STAGE,4,3
0,MANURE_PREPARATION,MANURE_PREPARATION_PROCESS,MANURE_PREPARATION,4,4
51,MATURITY_TIME_IN_MONTHS,MATURATION_PERIOD,MATURITY_TIME_IN_MONTHS,4,2
63,NEEDS_SHADE,SHADE_RELATION,SHaded_IN,4,4
123,ASSISTS_IN_PLANTING,PLANTING_RELATED,ASSISTS_IN_PLANTING,4,4
209,RECOMMENDED_PLANTING_PRACTICE,PLANTING_RECOMMENDATION,FERTILIZER_RECOMMENDATION,4,4
32,EMPLOYED_IN_MARKET_GARDENING,MARKET_GARDENING_RELATED,EMPLOYED_IN_MARKET_GARDENING,4,4
159,USED_TO_PREVENT,USED_TO_PREVENT_DAMAGE,USED_TO_PREVENT,4,3
71,FRAME_SUPPORTS,FRAME_RELATIONSHIP,FRAME_SUPPORTS,4,2
35,SUBJECT_TO,SUBJECT_TO,EXPOSED_TO,4,2
95,HAS_COST,HAS_FINANCIAL_IMPLICATION,HAS_COST,4,2
72,WARMED_UP_IN_WINTER,SENSITIVE_TO_COLD,WARMED_UP_IN_WINTER,4,3
26,SEEDLINGS_WERE_THINNED_OUT,SEEDLING_CARE,SEEDLINGS_WERE_THINNED_OUT,3,2
54,RIPENS_IN,RIPENING_TIME,RIPENS_IN,3,3
170,REPLACED_WITH_REAL_RELATION_TYPE,REPLACEMENT_RELATION,REPLACED_WITH_REAL_RELATION_TYPE,3,1
5,MANNES_CONTAIN,MANNES_RELATIONSHIP,MANNES_CONTAIN,3,2
125,PRUNED_FOR_HEALTH,PRUNING_REASONS,PRUNED_WITH,3,3
4,HELD_WITH,USED_WITH,HELD_WITH,3,3
91,BRINGS_BACK,PUT_BACK,MOVE_BACK,3,3
56,BLACK_RADISH_DOES_NOT_GO_TO_SEED_IN_SAME_YEAR,BLACK_RADISH_SEED_PRODUCTION_REQUIREMENTS,BLACK_RADISH_DOES_NOT_GO_TO_SEED_IN_SAME_YEAR,3,3
108,IS_VULNERABLE_TO,IS_VULNERABLE_TO,IS_PRONE_TO,3,3
41,KEPT_AT_SAME_LEVEL_AS,SAME_HANDLING_AS,KEPT_AT_SAME_LEVEL_AS,3,3
37,NEEDS_TO_EXIST,NEEDS_CONDITION,NEEDS_TO_EXIST,3,3
75,IS_HEATED,HEAT_RELATION,IS_HEATED,3,3
70,CULTIVATED_USING_FORCED_CULTIVATION_METHOD,FORCED_CULTIVATION_METHOD,USED_IN_FORCED_CULTIVATION,3,3
12,CROP_PREFERENCE,PREFERRED_GROWING_CONDITIONS,CROP_PREFERENCE,3,3
19,PLOWED_WITH,PLOWING_RELATION,PLOUGHED_BY,3,3
117,INCLUDES,CONTAINS,INCLUDES,3,3
21,SMALLER_THAN,IS_SMALLER_THAN,SMALLER_THAN,3,3
272,USES_TO_MAKE_MULCH,MULCH_PURPOSE,USES_TO_MAKE_MULCH,3,2
149,DESCRIBED_BY,DESCRIBED_OR_INTRODUCED_BY,INTRODUCED_BY,3,2
53,PLANTING_LOCATION,PLANTING_SITE,FIELD_LOCATION,3,3
