normalized,total_count,examples
planted in,89,"IS_PLANTED_IN, PLANTED_IN"
affected by,69,"AFFECTED_BY, IS_AFFECTED_BY"
grown in,57,GROWN_IN
grows in,28,GROWS_IN
covered with,27,"COVERED_WITH, IS_COVERED_WITH"
harvested in,20,"HARVESTED_IN, IS_HARVESTED_IN"
treated with,14,"IS_TREATED_WITH, TREATED_WITH"
variety,12,"IS_VARIETY_OF, VARIETY_OF"
used for,10,"IS_USED_FOR, USED_FOR"
type,9,"IS_TYPE_OF, TYPE_OF"
protected from,8,"IS_PROTECTED_FROM, PROTECTED_FROM"
located in,8,"IS_LOCATED_IN, LOCATED_IN"
uses equipment,7,USES_EQUIPMENT
relates to,7,RELATES_TO
grown under,7,GROWN_UNDER
related to,7,"ARE_RELATED_TO, IS_RELATED_TO, RELATED_TO"
contains,7,CONTAINS
planted after,6,PLANTED_AFTER
filled with,6,"FILLED_WITH, IS_FILLED_WITH"
planted in rows,6,"PLANTED_IN_ROWS, PLANTED_IN_rows"
protected by,6,"IS_PROTECTED_BY, PROTECTED_BY"
sown in,6,SOWN_IN
affected by relationship,6,AFFECTED_BY_RELATIONSHIP
used with,6,USED_WITH
crop planting relationship,6,CROP_PLANTING_RELATIONSHIP
has growth stage,5,HAS_GROWTH_STAGE
used in,5,"IS_USED_IN, USED_IN"
pest affects crop,5,PEST_AFFECTS_CROP
has part,5,HAS_PART
differs from,5,DIFFERS_FROM
affected by weather conditions,5,"AFFECTED_BY_WEATHER_CONDITIONS, AFFECTED_BY_WEATHER_CONDITIONS_OF"
equipped with,5,EQUIPPED_WITH
has variety,5,HAS_VARIETY
associated with,5,"ARE_ASSOCIATED_WITH, ASSOCIATED_WITH, IS_ASSOCIATED_WITH"
stored in,5,"IS_STORED_IN, STORED_IN"
affected by pest or disease,5,AFFECTED_BY_PEST_OR_DISEASE
planted in month,5,"CAN_BE_PLANTED_IN_MONTH, PLANTED_IN_MONTH"
cultivated in,5,"CULTIVATED_IN, IS_CULTIVATED_IN"
uses,5,USES
pest affected by,4,PEST_AFFECTED_BY
