cluster_id,name,count,representative
0,AFFECTED_BY_SEASONAL_CONDITION,1,AFFECTED_BY_SEASON
0,AFFECTED_BY_SEASONAL_PATTERN,1,AFFECTED_BY_SEASON
0,AFFECTED_BY_SEASON,1,AFFECTED_BY_SEASON
1,PROTECTED_FROM,6,PROTECTED_FROM
1,PROTECTED_BY,1,PROTECTED_FROM
2,ARRANGED_IN,1,ARRANGED_IN
2,ARRANGED_UNDER,1,ARRANGED_IN
3,HAS_DURATION,1,HAS_LENGTH
3,HAS_LENGTH,1,HAS_LENGTH
4,AFFECTED_BY_WEATHER_CONDITIONS,4,AFFECTED_BY_WEATHER_CONDITIONS
4,AFFECTED_BY_WEATHER_CONDITION,3,AFFECTED_BY_WEATHER_CONDITIONS
4,AFFECTED_BY_WEATHER,2,AFFECTED_BY_WEATHER_CONDITIONS
4,AFFECTED_BY_CONDITION,2,AFFECTED_BY_WEATHER_CONDITIONS
4,AFFECTED_BY_WEATHER_CONDITIONS_OF,1,AFFECTED_BY_WEATHER_CONDITIONS
5,CULTIVATED_DURING,3,CULTIVATED_DURING
5,PLANTED_DURING,1,CULTIVATED_DURING
6,AFFECTED_BY,57,AFFECTED_BY
6,IS_AFFECTED_BY,12,AFFECTED_BY
7,HARVESTED_IN,5,HARVESTED_IN
7,HARVESTED_AT,2,HARVESTED_IN
7,HARVESTED_ON,1,HARVESTED_IN
8,AFFECTED_BY_SOIL_TYPE,2,AFFECTED_BY_SOIL_TYPE
8,AFFECTED_BY_SOIL,1,AFFECTED_BY_SOIL_TYPE
9,CROP_VARIETY,4,CROP_VARIETY
9,CROP_VARIEGY,3,CROP_VARIETY
9,CROP_VARIEIES,2,CROP_VARIETY
10,WATERED_AT,2,WATERED_AT
10,WATERED_IN,1,WATERED_AT
10,WATERED_ON,1,WATERED_AT
11,REQUIRES_WATERING,2,REQUIRES_WATERING
11,HAS_REQUIREMENT_FOR_WATERING,2,REQUIRES_WATERING
12,VARIETY_OF,6,VARIETY_OF
12,IS_VARIETY_OF,6,VARIETY_OF
13,COVERED_WITH,24,COVERED_WITH
13,IS_COVERED_WITH,3,COVERED_WITH
13,IS_COVERED_BY,2,COVERED_WITH
13,COVERED_BY,2,COVERED_WITH
14,CONTAINS_OR_HAS,1,CONTAINS_OR_HAS
14,CONTAINS_OR_HAS_PARTS,1,CONTAINS_OR_HAS
15,HARVESTED_BEFORE,1,HARVESTED_BEFORE
15,IS_HARVESTED_BEFORE,1,HARVESTED_BEFORE
16,HAS_GROWTH_CYCLE,1,HAS_GROWTH_CYCLE
16,HAS_SPECIFIC_GROWTH_CYCLE,1,HAS_GROWTH_CYCLE
17,GROWN_FROM,2,GROWN_FROM
17,GROWS_FROM,1,GROWN_FROM
18,PLANTED_WITH,3,PLANTED_WITH
18,IS_PLANTED_WITH,1,PLANTED_WITH
19,IS_RELATED_TO,3,IS_RELATED_TO
19,IS_CONNECTED_TO,1,IS_RELATED_TO
20,IS_LOCATED_ON,1,LOCATED_ON
20,LOCATED_ON,1,LOCATED_ON
21,HARVESTED_FROM,3,HARVESTED_FROM
21,HARVESTED_BY,1,HARVESTED_FROM
22,USED_AS_FERTILIZER,2,USED_AS_FERTILIZER
22,USES_FERTILIZER,1,USED_AS_FERTILIZER
22,USES_AS_FERTILIZER,1,USED_AS_FERTILIZER
23,GROWS_IN,28,GROWS_IN
23,GROWS_INTO,1,GROWS_IN
23,GROWS_WITHIN,1,GROWS_IN
24,IMPACTS,1,IMPACTS
25,LOCATED_IN,6,LOCATED_IN
25,IS_LOCATED_IN,2,LOCATED_IN
26,HAS_CHARACTERISTICS,3,HAS_CHARACTERISTICS
26,HAS_FEATURE,1,HAS_CHARACTERISTICS
27,USED_FOR_TRANSPORTING,1,USED_FOR_TRANSPORTING
27,USES_FOR_TRANSPORTATION,1,USED_FOR_TRANSPORTING
28,PLANTED_ON_DATE,3,PLANTED_ON_DATE
28,PLANTING_DATE,1,PLANTED_ON_DATE
29,HAS_PROPAGATION_METHOD,1,HAS_PROPAGATION_METHOD
30,HAS_WIDTH,1,HAS_WIDTH
30,HAS_WIDTH_MEASUREMENT,1,HAS_WIDTH
31,COMPRISED_OF,1,COMPRISED_OF
31,COMPRISES_OF,1,COMPRISED_OF
32,SEED_COLLECTION_METHOD,2,SEED_COLLECTION_METHOD
32,SEED_HARVESTING_METHOD,1,SEED_COLLECTION_METHOD
33,HAS_PURPOSE,1,HAS_PURPOSE
34,SOIL_QUALITY_IMPACTS_PLANT_GROWTH,1,SOIL_CONDITION_IMPACTS_PLANT
34,SOIL_CONDITION_IMPACTS_PLANT,1,SOIL_CONDITION_IMPACTS_PLANT
35,DIFFERS_FROM,5,DIFFERS_FROM
35,DIFFERENT_FROM,1,DIFFERS_FROM
36,TRANSPLANTED_INTO,4,TRANSPLANTED_TO
36,TRANSPLANTED_TO,4,TRANSPLANTED_TO
37,PLACED_IN,3,PLACED_IN
37,PLACED_WITHIN,1,PLACED_IN
37,PLACED_INTO,1,PLACED_IN
38,IS_ASSOCIATED_WITH,2,IS_ASSOCIATED_WITH
38,ARE_ASSOCIATED_WITH,1,IS_ASSOCIATED_WITH
39,PEST_AFFECTED_BY,4,PEST_AFFECTED_BY
39,AFFECTED_BY_PESTS,2,PEST_AFFECTED_BY
39,AFFECTED_BY_PEST,1,PEST_AFFECTED_BY
40,HANDLE_WITH_CARE_DURING,1,HANDLE_WITH_CARE_DURING
41,PLANTED_IN,84,PLANTED_IN
41,IS_PLANTED_IN,5,PLANTED_IN
42,IS_PROTECTED_BY,5,IS_PROTECTED_BY
42,IS_PROTECTED_FROM,2,IS_PROTECTED_BY
43,AFFECTED_BY_CLIMATE_CONDITIONS,1,IMPACTED_BY_CLIMATE_CHANGE
43,IMPACTED_BY_CLIMATE_CHANGE,1,IMPACTED_BY_CLIMATE_CHANGE
44,AFFECTED_BY_PEST_OR_DISEASE,5,AFFECTED_BY_PEST_OR_DISEASE
44,AFFECTED_BY_PESTS_OR_DISEASES,2,AFFECTED_BY_PEST_OR_DISEASE
45,HAS_BRANCHES,1,HAS_BRANCHES
46,AFFECTED_BY_PLANTING_METHOD,1,AFFECTED_BY_PLANTING_METHOD
46,AFFECTED_BY_CULTIVATION_METHOD,1,AFFECTED_BY_PLANTING_METHOD
47,HAVE_SIMILAR_SEED_APPEARANCE_TO,2,HAVE_SIMILAR_SEED_APPEARANCE_TO
47,HAVE_SIMILAR_SEED_CHARACTERISTICS,1,HAVE_SIMILAR_SEED_APPEARANCE_TO
48,IS_GROWN_BY_FEW_MARKET_GARDENERS_IN_CITY,1,IS_GROWN_BY_FEW_MARKET_GARDENERS_IN_CITY
49,GROWNINCONDITIONS,1,GROWNINCONDITIONS
50,IS_CULTIVATED_IN,1,IS_CULTIVATED_IN
51,PRACTICED_IN,1,PRACTICED_IN
51,PRACTISED_IN,1,PRACTICED_IN
52,PLANTED_IN_ROWS,5,PLANTED_IN_ROWS
52,PLANTED_IN_rows,1,PLANTED_IN_ROWS
53,CONTROLLED_BY,1,CONTROLLED_BY
53,IS_CONTROLLED_BY,1,CONTROLLED_BY
54,HAS_MORE_SEASONS_THAN,1,HAS_MORE_SEASONS_THAN
55,GROWN_TOGETHER_WITH,1,GROWN_WITH
55,GROWN_WITH,1,GROWN_WITH
56,HAS_SPECIFIC_NUMBER_OF_HORSES,1,HAS_SPECIFIC_NUMBER_OF_HORSES
57,HAS_COSTLY_INVESTMENT,1,HAS_COSTLY_INVESTMENT
58,HAS_GROWTH_STAGE,5,HAS_GROWTH_STAGE
58,HAS_GROWTH_STAGES,1,HAS_GROWTH_STAGE
59,HARVEST_DATE,1,HARVEST_DATE
60,IS_GROWN_FOR,1,IS_GROWN_FOR
61,PREPARATION_REQUIRES,2,PREPARATION_REQUIRES
