cluster_id,representative,total_count,members
41,PLANTED_IN,89,2
6,AFFECTED_BY,69,2
736,GROWN_IN,57,1
13,COVERED_WITH,31,4
23,GROWS_IN,30,3
75,IS_HARVESTED_IN,16,2
713,TREATED_WITH,13,1
12,VARIETY_OF,12,2
4,AFFECTED_BY_WEATHER_CONDITIONS,12,5
215,GROWN_UNDER,10,2
216,RELATES_TO,9,2
9,CROP_VARIETY,9,3
36,TRANSPLANTED_TO,8,2
25,LOCATED_IN,8,2
742,IS_TYPE_OF,8,1
7,HARVESTED_IN,8,3
39,PEST_AFFECTED_BY,7,3
44,AFFECTED_BY_PEST_OR_DISEASE,7,2
42,IS_PROTECTED_BY,7,2
688,CONTAINS,7,1
108,CROP_PLANTING_RELATIONSHIP,7,2
763,USES_EQUIPMENT,7,1
1,PROTECTED_FROM,7,2
105,HAS_PART,6,2
52,PLANTED_IN_ROWS,6,2
692,PLANTED_AFTER,6,1
35,DIFFERS_FROM,6,2
755,AFFECTED_BY_RELATIONSHIP,6,1
58,HAS_GROWTH_STAGE,6,2
74,HAS_VARIETY,6,2
69,IS_FILLED_WITH,6,2
727,SOWN_IN,6,1
704,USED_WITH,6,1
730,USED_FOR,6,1
37,PLACED_IN,5,3
62,CULTIVATED_IN,5,2
672,USES,5,1
560,PEST_AFFECTS_CROP,5,1
128,GROWN_ON,5,2
773,EQUIPPED_WITH,5,1
21,HARVESTED_FROM,4,2
26,HAS_CHARACTERISTICS,4,2
5,CULTIVATED_DURING,4,2
11,REQUIRES_WATERING,4,2
63,SIMILAR_TO,4,2
19,IS_RELATED_TO,4,2
10,WATERED_AT,4,3
22,USED_AS_FERTILIZER,4,3
28,PLANTED_ON_DATE,4,2
582,CAUSES_DAMAGE_TO,4,1
690,TYPE_OF_CROP_VARIETY,4,1
720,SOWN_AT,4,1
743,CROP_GROWTH_STAGE_RELATIONSHIP,4,1
502,USED_IN,4,1
18,PLANTED_WITH,4,2
678,IS_USED_FOR,4,1
571,CROP_TYPE,4,1
495,FLOWED_THROUGH,4,1
644,PLACED_ON,4,1
569,WATERED_WITH,4,1
710,PLANTED_IN_MONTH,4,1
761,WATERED_BY,4,1
464,USED_BY,4,1
703,COLOCATED_WITH,3,1
611,FRAME_SUPPORTS,3,1
61,PREPARATION_REQUIRES,3,2
47,HAVE_SIMILAR_SEED_APPEARANCE_TO,3,2
658,CULTIVATED_USING,3,1
698,AFFECTS_GROWTH_OF,3,1
0,AFFECTED_BY_SEASON,3,3
73,GROWN_AT_LOCATION,3,2
17,GROWN_FROM,3,2
170,AFFECTED_BY_DISEASE,3,2
84,AFFECTED_BY_TEMPERATURE,3,2
8,AFFECTED_BY_SOIL_TYPE,3,2
32,SEED_COLLECTION_METHOD,3,2
728,REQUIRES,3,1
651,REPLACED_WITH_REAL_RELATION_TYPE,3,1
645,STORED_IN,3,1
774,PLANTED_UNDER,3,1
649,PLANTED_IN_AUTUMN,3,1
714,PLANTED_IN_POTTING_SOIL,3,1
776,PLANTED_AT,3,1
517,MIXED_WITH,3,1
621,MATURITY_TIME_IN_MONTHS,3,1
760,PLANTED_IN_SEASON,3,1
772,GROWTH_STAGE,3,1
616,GROWS,3,1
520,EXPOSED_TO,3,1
598,INVOLVES_OPERATION,3,1
573,SEED_HARVESTED_FROM,3,1
581,CAUSED_BY,3,1
741,TRANSPLANTED_UNDER,3,1
38,IS_ASSOCIATED_WITH,3,2
749,MADE_OF,3,1
638,HAS_COST,3,1
762,TRANSFERRED_TO,2,1
647,USED_TO_PREVENT,2,1
697,USES_TO_MAKE_MULCH,2,1
612,USED_FOR_LOADING,2,1
686,USES_EQUIPMENT_TYPE,2,1
766,CULTIVATED_ON,2,1
746,ARE_THINNED_IN_SAME_WAY,2,1
548,UNDERGOES,2,1
589,TOOL_USED_IN_PRACTICE,2,1
769,AUTHORED_BY,2,1
599,PRODUCES_SEEDS,2,1
567,IS_ALSO_RELATED_TO_AS,2,1
626,PLANTED_IN_LAYER,2,1
768,IS_A,2,1
391,PLANTED_IN_HOLES_CONTAINING,2,1
750,PROTECTED_FROM_FROST,2,1
383,ARE_RELATED_TO,2,1
107,RECOMMENDED_PLANTING_METHOD,2,2
78,PLANTING_METHOD_ALTERNATIVE,2,2
2,ARRANGED_IN,2,2
15,HARVESTED_BEFORE,2,2
53,CONTROLLED_BY,2,2
55,GROWN_WITH,2,2
43,IMPACTED_BY_CLIMATE_CHANGE,2,2
3,HAS_LENGTH,2,2
79,GREY_ROMAINE_WAS_SOWN_AND_PLANTED_IN,2,2
157,COVERED_WITH_SOIL,2,2
46,AFFECTED_BY_PLANTING_METHOD,2,2
659,HAS_SEEDS_WITH_COLOR_TENDING_TO_BRICK,2,1
51,PRACTICED_IN,2,2
27,USED_FOR_TRANSPORTING,2,2
20,LOCATED_ON,2,2
34,SOIL_CONDITION_IMPACTS_PLANT,2,2
30,HAS_WIDTH,2,2
88,PLANTED_NEAR,2,2
14,CONTAINS_OR_HAS,2,2
152,IS_HEATED,2,2
31,COMPRISED_OF,2,2
666,USES_UP,2,1
738,ASSOCIATED_WITH,2,1
16,HAS_GROWTH_CYCLE,2,2
673,CUT_ABOVE_LEAF,2,1
590,SOWED_ON,2,1
615,CULTIVATED_VARIETY,2,1
479,WATERED_EVERY_X_DAYS_IN_CONDITION_Y,2,1
767,CONSISTS_OF,2,1
509,WARMED_UP_IN_WINTER,2,1
531,COVERS,2,1
586,GROWS_TO_HEIGHT,2,1
515,GROWN_IN_SEQUENCE,2,1
