cluster_id,representative,total_count,members
70,PLANTED_IN,126,12
35,GROWN_IN,98,12
147,AFFECTED_BY,90,7
18,USED_WITH,57,8
112,COVERED_WITH,45,7
37,HARVESTED_FROM,43,17
34,GROWS_IN,39,10
149,RELATED_TO,25,5
46,SOWN_IN,24,9
27,PLANTED_IN_MONTH,22,11
113,TREATED_WITH,21,2
29,CULTIVATED,21,12
42,REQUIRES,21,4
49,HAS_GROWTH_STAGE,20,5
41,AFFECTED_BY_WEATHER_CONDITIONS,19,7
23,LOCATED_IN,17,4
98,MENTIONED_ALONGSIDE,17,3
82,PROTECTED_FROM,15,8
26,PLANTED_WITH,14,3
8,IS_VARIETY_OF,14,4
65,GROWN_UNDER,14,4
80,PLANTED_AFTER,14,4
76,WATERED_WITH,14,7
63,PLACED_IN,13,4
32,CONTAINS,13,5
12,REPLACED_BY,10,5
117,CROP_VARIETY,10,2
93,GROWS_DURING,10,2
2,HAS_PLANTING_DATE,10,7
324,IS_TYPE_OF,9,1
97,REQUIRES_WATERING,9,7
1,REMOVED_FROM,9,6
111,HAS_COMPONENT,9,5
127,PEST_AFFECTED_BY,9,4
665,CULTIVATED_DURING,8,2
74,HAS_VARIETY,8,3
61,PEST_AFFECTS_CROP,8,3
9,TRANSPLANTED_TO,8,6
73,AVAILABLE_IN,8,2
13,PLANTED_IN_ROWS,8,6
40,IS_PART_OF,8,3
79,CROP_VARIEGES,7,4
125,HAS_DIFFERENT_CHARACTERISTICS_THAN,7,6
403,CONTINUE_TO_BE_TRANSPLANTED,6,1
33,REQUIRES_PROTECTION_FROM,6,4
136,CROP_GROWN,6,5
150,STORED_IN,6,2
267,PLANTED_IN_SEASON,6,5
83,MADE_FROM,6,3
651,CROP_TYPE,6,1
151,PREFERRED_FOR,6,4
638,MANNES_CONTAIN,6,1
62,PLANTED_UNDER_SPECIFIC_CONDITIONS,6,4
55,SPACED_AT,6,6
261,EQUIPPED_WITH,6,3
102,SOIL_TYPE_FOR_CROP,5,4
244,CUT_AT,5,4
78,DISEASE_AFFECTED_BY,5,3
11,PRACTICED_IN,5,4
10,REQUIRES_EQUIPMENT,5,3
124,SAME_SPECIES_AS,5,3
496,PRICED_AT,5,1
437,FOLLOWS_LAYERS,5,1
51,MIXED_WITH,5,2
24,PICKED_AND_READY,5,4
152,IRRIGATION_METHOD,5,4
7,AUTHORED_BY,5,3
121,BELONGS_TO,5,4
44,PRODUCES,5,3
263,AFFECTS_CROP,5,5
91,USES_EQUIPMENT,5,3
89,CAUSES_CONDITION,4,3
54,PREFERED_SOIL_CONDITION,4,4
142,ARE_WARMED_UP_FROM_MONTH,4,3
145,SEED_CHARACTERISTIC,4,2
47,SUPPORTED_BY,4,2
20,USED_IN_PROCESS,4,3
129,FOLLOWED_BY,4,2
19,AFFECTS,4,2
290,USED_IN_PLANTING,4,4
104,FARMING_PRACTICE_RELATED,4,3
216,IS_GOOD_FOR,4,4
30,CARROT_IS_SOWN_IN,4,4
322,PLANTED_IN_NOVEMBER,4,1
57,ORIGINATED_IN,4,4
148,GROWTH_STAGE_TRANSITION,4,3
366,NEW_CROP_AVAILABLE,4,1
252,SOWN_IN_GROUND_BEFORE_DATE,4,3
154,INTRODUCED_CROP_INTO_MARKET_GARDENING,4,2
160,CONTAINS_SPECIES,4,2
306,NEED_ATTENTION,4,3
162,GROWN_WITH,4,2
3,SPLIT_INTO,4,4
658,DIFFERS_IN_RUNNIG_FROM,4,1
60,-has_part-relationship,4,2
163,SEASONAL_AVAILABILITY,4,2
43,COSTS,4,2
25,EXPOSED_TO_WIND,4,4
536,INTERPLANTED_WITH,4,1
48,CHARACTERISTIC_OF,4,4
53,RAISED_ON,4,3
134,HARVEST_DATE,3,2
131,PRODUCES_SEEDS_WITH_SIMILAR_CHARACTERISTICS,3,2
203,GIVEN_AIR_USING,3,3
228,GROWTH_STAGE_RELATED_TO_GROWTH_STAGE,3,2
328,USED_FOR_WATERING,3,2
56,HARVESTED_IN_OCTOBER,3,3
130,REQUIRES_COVERING,3,3
197,RENTS_AT,3,2
5,REQUIRES_PRUNING,3,3
45,REMOVES,3,2
153,REQUIRES_SOIL_TYPE,3,3
168,TIED_TO,3,3
128,CONTAINS_SEEDS,3,2
85,PROTECTED_FROM_AIR,3,3
15,SOIL_IMPROVED_WITH,3,3
165,SLOPED_TO_SOUTH,3,3
249,PREPARATION_OF,3,3
118,HAVE_COMMON_PARTS,3,2
551,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,3,1
264,IS_NEEDED_TO_FERTILIZE,3,2
180,NEEDS,3,2
109,PLANTED_BEFORE,3,2
630,IS_NOT_GROWN,3,1
331,SEED_PRODUCTION_PREREQUISITE,3,1
167,CARRIED_ON,3,2
268,CAN_BE_TRANSPORTED_UNDER,3,2
137,PLANTED_IN_BED,3,3
330,PLACED_NEAR,3,3
96,PLANTED_IN_LAYER,3,3
333,PRONE_TO,3,2
38,Damaged_BY,3,3
265,USES,3,2
166, COMPARED_TO,3,3
123,SUPERIOR_TO,3,2
52,AFFECTED_BY_SNOW,3,3
198,SIMILAR_TO,3,2
71,PREPARED_IN,3,3
376,USES_TO_MAKE_MULCH,3,1
133,RESISTANT_TO,3,3
141,TREATED_WITH_RELATIONSHIP,3,1
582,USED_AS_FERTILIZER,3,2
565,ARE_TRANSPLANTED_INTO_NURSERY,3,1
237,TIME_PERIOD_ASSOCIATED_WITH,3,2
175,TIME_OF_HARVESTING_RELATIONSHIP,3,1
67,WATERED_REGULARLY,3,2
72,HAS_ROOT,3,3
299,APPLIED_AT,3,3
21,USED_TO_GROW,2,2
309,ALTERNATIVELY_PLANTED_WITH,2,2
103,ALTERNATIVE_TO,2,2
681,AFFECTED_BY_TEMPERATURE,2,1
22,TOPPED_OFF,2,2
122,TEMPORAL_RELATIONSHIP,2,1
0,THINNING_METHOD,2,2
600,AWARDED_BY,2,2
116,BEARS_FRUIT_IN,2,2
36,ASSOCIATED_WITH_SOIL_CONDITIONS,2,2
