raw_name,normalized_for_embedding,normalized_for_analysis,count
 COMPARED_TO,compared to,compared to,1
 HAS_ROOT,has root,has root,1
 REPLACES,replaces,replaces,1
-has_condition-relationship,has condition relationship,has condition relationship,1
-has_part-relationship,has part relationship,has part relationship,3
-is_superior_to-relationship,superior to relationship,superior to relationship,1
-requires-relationship,requires relationship,requires relationship,1
ABSORBS_HEAT_FROM,absorbs heat from,absorbs heat from,1
ADJACENT_IN_FIELD_LAYOUT,adjacent in field layout,adjacent in field layout,1
AFFECTED_BY,affected by,affected by,75
AFFECTED_BY_AGE,affected by age,affected by age,1
AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,affected by competition from outside region,affected by competition from outside region,1
AFFECTED_BY_CONDITION,affected by condition,affected by condition,1
AFFECTED_BY_DISEASE,affected by disease,affected by disease,1
AFFECTED_BY_ENVIRONMENTAL_CONDITION,affected by environmental condition,affected by environmental condition,1
AFFECTED_BY_ENVIRONMENTAL_CONDITIONS,affected by environmental conditions,affected by environmental conditions,1
AFFECTED_BY_FROST,affected by frost,affected by frost,1
AFFECTED_BY_MANURE_FERTILITY,affected by manure fertility,affected by manure fertility,1
AFFECTED_BY_MELON_PRUNING,affected by melon pruning,affected by melon pruning,2
AFFECTED_BY_MUSHROOM_GROWTH,affected by mushroom growth,affected by mushroom growth,1
AFFECTED_BY_PEST,affected by pest,affected by pest,1
AFFECTED_BY_PESTS,affected by pests,affected by pests,1
AFFECTED_BY_PEST_OR_DISEASE,affected by pest or disease,affected by pest or disease,2
AFFECTED_BY_POLICE_BAN,affected by police ban,affected by police ban,1
AFFECTED_BY_PRACTICES,affected by practices,affected by practices,1
AFFECTED_BY_ROT,affected by rot,affected by rot,1
AFFECTED_BY_SEASONAL_CHANGES,affected by seasonal changes,affected by seasonal changes,1
AFFECTED_BY_SNOW,affected by snow,affected by snow,1
AFFECTED_BY_TEMPERATURE,affected by temperature,affected by temperature,2
AFFECTED_BY_WATER_LOVING,affected by water loving,affected by water loving,1
AFFECTED_BY_WEATHER,affected by weather,affected by weather,3
AFFECTED_BY_WEATHER_CONDITION,affected by weather condition,affected by weather condition,5
AFFECTED_BY_WEATHER_CONDITIONS,affected by weather conditions,affected by weather conditions,7
AFFECTS,affects,affects,3
AFFECTS_ADVANCEMENT_OF,affects advancement,affects advancement,1
