cluster_id,representative_llm,representative_llm_free,representative,total_count,members
2,PLANTED_IN,PLANTED_AT,PLANTED_IN,111,3
71,AFFECTED_BY,AFFECTED_BY,AFFECTED_BY,89,6
59,GROWN_IN,GROWN_IN,GROWN_IN,83,3
242,COVERED_WITH,COVERED_WITH,COVERED_WITH,39,2
14,HARVESTED_FROM,HARVESTED_FROM_OR_IN,HARVESTED_FROM,31,5
464,GROWS_IN,LOCATION_OF_GROWTH,GROWS_IN,29,1
105,USED_WITH,USED_WITH,USED_WITH,28,2
24,USED_IN,USED_BY,USED_FOR,21,3
216,TREATED_WITH,TREATMENT_RELATIONSHIP,TREATED_WITH,20,1
12,RELATED_TO,RELATED_TO,RELATED_TO,19,3
37,GROWTH_STAGE,HAS_GROWTH_STAGE,HAS_GROWTH_STAGE,18,3
452,REQUIRES,DEPENDENCY_RELATIONSHIP,REQUIRES,18,1
61,SOWN_IN,SOWN_IN,SOWN_IN,18,4
68,LOCATED_IN,LOCATED_IN,LOCATED_IN,16,3
152,AFFECTED_BY_WEATHER_CONDITIONS,AFFECTED_BY_WEATHER_CONDITIONS,AFFECTED_BY_WEATHER_CONDITIONS,15,3
487,MENTIONED_ALONGSIDE,MENTIONED_WITH,MENTIONED_ALONGSIDE,15,1
33,PLANTED_IN_MONTH,PLANTED_IN_MONTH,PLANTED_IN_MONTH,13,5
306,IS_VARIETY_OF,IS_VARIETY_OF,IS_VARIETY_OF,12,3
488,PLANTED_WITH,PLANTING_METHOD,PLANTED_WITH,12,1
6,WATERED_BY,WATERED_WITH_OR_BY,WATERED_WITH,11,4
371,PLANTED_AFTER,PLANTING_RELATIONSHIP,PLANTED_AFTER,10,1
838,GROWS_DURING,GROWTH_PHASE,GROWS_DURING,9,1
34,GROWS_UNDER,GROWS_UNDER,GROWN_UNDER,9,2
324,IS_TYPE_OF,INSTANCE_OF,IS_TYPE_OF,9,1
990,CONTAINS,CONTAINMENT,CONTAINS,9,1
20,PROTECTED_FROM,PROTECTED_FROM,PROTECTED_FROM,8,3
727,AVAILABLE_IN,AVAILABLE_AT_LOCATION,AVAILABLE_IN,7,1
118,HAS_COMPONENT,HAS_COMPONENT,HAS_COMPONENT,7,3
13,CULTIVATED_IN,CULTIVATED_AT,CULTIVATED_ON,7,3
65,IS_PART_OF,PART_OF,IS_PART_OF,7,2
8,HAS_VARIETY,HAS_VARIETY,HAS_VARIETY,7,2
51,AFFECTED_BY_PEST,AFFECTED_BY_PEST,PEST_AFFECTED_BY,7,3
101,REPLACED_BY,REPLACEMENT_OF,REPLACED_BY,7,3
109,ASSOCIATED_WITH,ASSOCIATED_WITH,ASSOCIATED_WITH,6,2
638,MANNES_CONTAIN,CONTAINS_MALE,MANNES_CONTAIN,6,1
496,USED_BY,DEPENDENCY,USED_BY,6,1
26,PLANTED_ALONGSIDE,PLANTED_NEARBY,PLANTED_ALONGSIDE,6,2
466,PLACED_IN,CONTAINED_IN,PLACED_IN,6,1
856,CROP_VARIETY,CROP_TYPE,CROP_VARIETY,6,1
150,STORED_IN,STORED_IN,STORED_IN,6,2
81,NEEDS_WATERING,REQUIRES_WATERING,REQUIRES_WATERING,6,4
651,CROP_TYPE,CROP_INFORMATION,CROP_TYPE,6,1
807,CONTINUE_TO_BE_TRANSPLANTED,CONTINUE_TRANSPLANTATION,CONTINUE_TO_BE_TRANSPLANTED,6,1
