raw_name,normalized_for_embedding,count
IS_A,,1
ABSORBS_HEAT_FROM,absorbs heat from,1
ADJACENT_IN_FIELD_LAYOUT,adjacent in field layout,1
CAN_BE_AFFECTED_BY,affected by,85
AFFECTED_BY_AGE,affected by age,1
AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,affected by competition from outside region,1
AFFECTED_BY_CONDITION,affected by condition,1
AFFECTED_BY_DISEASE,affected by disease,1
AFFECTED_BY_ENVIRONMENTAL_CONDITION,affected by environmental condition,1
AFFECTED_BY_ENVIRONMENTAL_CONDITIONS,affected by environmental conditions,1
AFFECTED_BY_FROST,affected by frost,1
AFFECTED_BY_MANURE_FERTILITY,affected by manure fertility,1
AFFECTED_BY_MELON_PRUNING,affected by melon pruning,2
AFFECTED_BY_MUSHROOM_GROWTH,affected by mushroom growth,1
AFFECTED_BY_PEST,affected by pest,1
AFFECTED_BY_PEST_OR_DISEASE,affected by pest or disease,2
AFFECTED_BY_PESTS,affected by pests,1
AFFECTED_BY_POLICE_BAN,affected by police ban,1
AFFECTED_BY_PRACTICES,affected by practices,1
AFFECTED_BY_ROT,affected by rot,1
AFFECTED_BY_SEASONAL_CHANGES,affected by seasonal changes,1
AFFECTED_BY_SNOW,affected by snow,1
AFFECTED_BY_TEMPERATURE,affected by temperature,2
AFFECTED_BY_WATER_LOVING,affected by water loving,1
AFFECTED_BY_WEATHER,affected by weather,3
AFFECTED_BY_WEATHER_CONDITION,affected by weather condition,5
AFFECTED_BY_WEATHER_CONDITIONS,affected by weather conditions,7
AFFECTS,affects,3
AFFECTS_ADVANCEMENT_OF,affects advancement,1
AFFECTS_CROP,affects crop,1
AFFECTS_CROP_GROWTH,affects crop growth,1
AFFECTS_THE_GROWTH_OF,affects growth,3
AFFECTS_LOCAL_MARKET_GARDENERS_COMPETITIVENESS_DUE_TO_FACTOR,affects local market gardeners competitiveness due to factor,1
AFFECTS_QUALITY_OF,affects quality,1
AFFECTS_YIELD,affects yield,1
AFFTECTED_BY_DISEASE,afftected by disease,1
AIMED_AT_PRODUCING_MANUAL_FOR,aimed at producing manual for,1
ALLOWED_TO_GROW,allowed to grow,1
IS ALSO KNOWN AS,also known as,1
ALTERNATIVE_TO,alternative to,1
ARE_ALTERNATIVELY_lined_WITH,alternatively lined with,1
ALTERNATIVELY_PLANTED_WITH,alternatively planted with,1
ALTERNATIVELY_PREFFERED_FOR,alternatively preffered for,1
APPLIED_AT,applied at,1
APPLIED_IN,applied in,1
APPLIED_TO,applied to,1
APPLY_TREATMENT_ON_AREA,apply treatment on area,1
ARElined_WITH,arelined with,1
IS_ARRANGED_ALONG_THE_WALLS_OF,arranged along walls,1
ARRANGED_IN,arranged in,1
ARRANGED_UNDERNEATH_OF,arranged underneath,1
AS_PARAPHRASED,as paraphrased,1
ASSEMBLED_INTO,assembled into,1
ARE_ASSOCIATED_WITH,associated with,6
ASSOCIATED_WITH_FARM_PRACTICE,associated with farm practice,1
ASSOCIATED_WITH_GARDENS_IN_PARIS,associated with gardens in paris,1
ASSOCIATED_WITH_INSTITUTION_OR_WORKER,associated with institution or worker,1
ASSOCIATED_WITH_SOIL_CONDITIONS,associated with soil conditions,1
IS_ATTACHED_TO,attached to,1
AUTHORED_BY,authored by,3
AVAILABLE_ALMOST_ALL_YEAR_ROUND,available almost all year round,1
AVAILABLE_IN,available in,7
AVAILABLE_IN_ABUNDANCE,available in abundance,1
IS_AVAILABLE_IN_MONTH,available in month,1
AWARDED_BY,awarded by,1
AWARDED_WITH,awarded with,1
BASED_ON_DESIRE_FOR_PUBLICATION,based on desire for publication,1
BASED_ON_PROGRAM_OF,based on program,1
BEARS_APPLES_IN,bears apples in,1
BEARS_FRUIT_IN,bears fruit in,1
BEGINS_AT_MONTH_OF,begins at month,1
BELL_MARKED_AT,bell marked at,1
BELL_PLACEMENT_MONTH,bell placement month,1
BELONG_TO_SAME_GENUS,belong to same genus,1
BELONGS_TO,belongs to,2
BELONGS_TO_FAMILY,belongs to family,1
BELONGS_TO_FAMILY_SECTION,belongs to family section,1
BELONGS_TO_THE_SAME_PLANT_TYPE,belongs to same plant type,1
BELONGS_TO_SECTION,belongs to section,1
IS_BENEFICIAL_FOR,beneficial for,2
BENEFITS_ACCESSIBILITY,benefits accessibility,1
BENEFITS_FROM,benefits from,1
BLANCHED_USING,blanched using,2
BLANCHES_FROM,blanches from,1
BOUND_FOR_BLANCHING,bound for blanching,1
BURIED_WITH,buried with,1
CABBAGE_POMMENT_AGE,cabbage pomment age,1
CALAISSED_FROM,calaissed from,1
IS_CALLED,called,1
CAN_MEASURE_TEMPERATURE,can measure temperature,1
CAN_REACH_TEMPERATURE,can reach temperature,1
CAN_STILL_BE_PLANTED,can still be planted,1
CAN_WITHSTAND,can withstand,1
CANTALOUPE_CROP_OF,cantaloupe crop,1
CARRIED_ON,carried on,2
CARRIES,carries,2
CARRIES_ON,carries on,1
CARROT_IS_COVERED_WITH,carrot is covered with,1
CARROT_IS_SEALED_WITH,carrot is sealed with,1
CARROT_IS_SOWN_IN,carrot is sown in,1
CARROT_IS_SOWN_ON,carrot is sown on,1
CATEGORY_OF,category,2
IS_CAUSE_OF_DAMAGE,cause damage,1
CAUSED_BY,caused by,1
CAUSES,causes,1
CAUSES_CONDITION,causes condition,2
CHARACTERISTIC_OF,characteristic,1
IS_CHARACTERIZED_BY,characterized by,1
CHARACTERIZED_BY_STEM_AND_CAP,characterized by stem and cap,1
CHECKED_FOR,checked for,1
CLASSIFIED_UNDER,classified under,2
CLEANED_WITH,cleaned with,1
CLOSED_WITH_FRAMES,closed with frames,1
COIFFES_IN_MONTH,coiffes in month,1
COLLAR_SUNK_INTO_GROUND,collar sunk into ground,2
IS_COLLECTED_INTO,collected into,1
COLOCATED_WITHIN,colocated within,1
COLORED_LEAVES,colored leaves,1
COMMON_NAME_OF_CROP,common name crop,1
COMMONLY_GROWN_DURING,commonly grown during,1
COMPANION_PLANT_FOR,companion plant for,2
IS_COMPARED_TO,compared to,2
COMPARED_WITH_METHODS,compared with methods,1
COMPETES_WITH,competes with,1
COMPETING_VARIETY_OF,competing variety,1
COMPLETELY_MILLED_TO_BLEACH,completely milled to bleach,1
IS_COMPOSED_OF,composed,1
COMPRISED_OF,comprised,1
CONDITIONALLY_REQUIRES,conditionally requires,1
CONNECTED_TO,connected to,1
CONNECTS_TO_FRAME,connects to frame,1
CONSEQUENCE_OF,consequence,1
CONSISTS_OF,consists,1
CONSISTS_OF_SOIL_AND_MANURE,consists soil and manure,1
CONSUMED_IN,consumed in,1
CONTAIN,contain,1
CONTAINING,containing,1
CONTAINS,contains,9
CONTAINS_IN_AVERAGE,contains in average,1
CONTAINS_MATERIALS,contains materials,1
CONTAINS_MEASUREMENT,contains measurement,1
CONTAINS_PART_OF,contains part,1
CONTAINS_SEEDS,contains seeds,2
CONTAINS_SOIL_TYPE,contains soil type,1
CONTAINS_SPAWN,contains spawn,1
CONTAINS_SPECIES,contains species,2
CONTAINS_SUBSTANCE_AS_SEED,contains substance as seed,1
CONTAINS_VARIETIES,contains varieties,2
