cluster_id,name,count,representative,representative_llm,representative_llm_free
0,THINNING_METHOD,1,THINNING_METHOD,THINNING_METHOD,THINNING_METHOD_OR_TOOL
0,TOOL_USED_FOR_THINNING,1,THINNING_METHOD,THINNING_METHOD,THINNING_METHOD_OR_TOOL
1,REMOVED_FROM,3,REMOVED_FROM,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT
1,REMOVED_WITH,2,REMOVED_FROM,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT
1,IS_REMOVED_AFTER_SELECTION,1,REMOVED_FROM,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT
1,REMOVED_DURING,1,REMOVED_FROM,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT
1,REMOVED_ON,1,REMOVED_FROM,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT
1,REMOVED_ON_DATE,1,REMOVED_FROM,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT
2,HAS_PLANTING_DATE,3,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
2,PLANTING_SCHEDULE,2,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
2,PLANTING_DATE,1,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
2,PLANTING_TIME,1,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
2,PLANTING_TIME_OF_YEAR,1,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
2,REQUIRES_PLANTING_DATE,1,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
2,TIME_OF_PLANTING,1,HAS_PLANTING_DATE,PLANTING_DATE,PLANTING_DATE
3,GROWS_IN,29,GROWS_IN,GROWS_IN,GROWS_IN
3,GROWS_AT_HEIGHT_OF,2,GROWS_IN,GROWS_IN,GROWS_IN
3,GROWS_TO,2,GROWS_IN,GROWS_IN,GROWS_IN
3,GROWS_TO_HEIGHT_OF,2,GROWS_IN,GROWS_IN,GROWS_IN
3,GROWN_TO_LENGTH,1,GROWS_IN,GROWS_IN,GROWS_IN
3,GROWS_FAST,1,GROWS_IN,GROWS_IN,GROWS_IN
3,GROWS_IN_WIDTH,1,GROWS_IN,GROWS_IN,GROWS_IN
3,NATURALLY_GROWS_IN,1,GROWS_IN,GROWS_IN,GROWS_IN
4,GOES_TO_SEED,1,SET_SEED_IN,GOES_TO_SEED,SET_SEED
4,SET_SEED_IN,1,SET_SEED_IN,GOES_TO_SEED,SET_SEED
5,HAS_PRUNING_PRACTICE,1,REQUIRES_PRUNING,REQUIRES_PRUNING,HAS_PRUNING_RELATED_PROPERTY
5,HAS_PRUNING_STAGE,1,REQUIRES_PRUNING,REQUIRES_PRUNING,HAS_PRUNING_RELATED_PROPERTY
