cluster_id,representative,total_count,members
12,PLANTED_IN,567,196
14,CAN_BE_AFFECTED_BY,171,54
4,USED_WITH,97,42
11,IS_COVERED_WITH,74,25
63,REQUIRES,72,46
16,IS_RELATED_TO,70,30
17,IS_LOCATED_IN,60,30
40,CONTAINS,58,35
5,WATERED_WITH,50,36
32,CROP_TYPE,35,16
150,HAS_GROWTH_STAGE,32,14
42,TREATED_WITH,28,7
13,SOIL_TYPE_FOR_CROP,28,26
76,CONTINUE_TO_BE_TRANSPLANTED,23,14
37,IS_PROTECTED_FROM,22,13
39,ARE_WARMED_UP_FROM_MONTH,20,19
41,IS_REPLACED_BY,18,12
73,PICKED_AND_READY,18,16
2,MADE_FROM,17,12
3,CUT_AT,17,16
18,RAISED_ON,17,15
9,DIFFERS_IN_RUNNIG_FROM,17,13
83,SAME_SPECIES_AS,17,13
29,REMOVED_FROM,16,12
81,IS_A_VARIETY_OF,16,4
25,PRICED_AT,14,6
34,SPACED-apart,13,12
90,FOLLOWS_LAYERS,12,6
48,SEED_CHARACTERISTIC,12,10
62,PREFERRED_FOR,12,10
38,MANURE_TYPE_COMPARISON,12,10
10,IS_TYPE_OF,12,3
20,INTRODUCED_CROP_INTO_MARKET_GARDENING,10,6
67,GREENER_THAN,10,9
58,AVAILABLE_IN,10,4
27,PRODUCES,9,6
120,CARRIES,9,6
22,IS_PART_OF,9,3
0,RECOMMENDED_FOR,9,7
56,FARMING_PRACTICE_RELATED,8,7
134,OVERWINTERS_AT,8,8
79,PRACTICED_IN,8,7
122,TIME_OF_HARVESTING_RELATIONSHIP,8,4
36,SUPERIOR_TO,8,6
104,-has_part-relationship,7,5
141,SEASONAL_AVAILABILITY,7,5
84,HAS_FRAME,7,7
33,SELECTED_FROM,7,7
8,SLIDE_AGAINST,7,7
35,MANNES_CONTAIN,7,2
28,TURNS_THE,6,6
149,IS_NOT_GROWN,6,4
51,HAS_TIME_TO_MATURITY,6,5
31,CLEANED_WITH,6,6
30,SET_SEED_IN,5,5
53,GERMINATES_FOR,5,4
60,IS_PRONE_TO,5,3
114,USES_TO_MAKE_MULCH,5,3
85,FRAMES_AREUSED_WITH_PEAS,5,5
21,PRECEDES,4,4
19,RELIES_ON,4,4
59,LAYERED_WITHIN,4,4
128,MEASURED_BY,4,4
130,CARROT_IS_SOWN_IN,4,4
124,ARE_RESISTANT_TO,4,3
70,KNOWN_AS,4,4
69,SPREAD_OVER,4,4
119,WINTER_CHERVIL_SOWN_IN,4,4
6,REJECTED_BY,4,4
152,FED_BY,3,3
1,COMPANION_PLANT_FOR,3,2
65,DEPANELLED_AT,3,3
68,RENTS_AT,3,2
66,REACHES_LENGTH_OF,3,3
78,HAS_SEED_LENGTH,3,3
74,CAN_BE_SOLD_FROM,3,3
136,CHECKED_FOR,3,3
139,DEPICTS,3,3
45,HAS_TIMBER_SUPPORTS,3,3
133,TRIGGERED_IN_CONDITIONS,3,3
50,COOLING_LOCATION,3,3
52,COSTS_ASSOCIATED_WITH_EQUIPMENT,3,2
54,CAN_BE_LEFT_IN,3,2
47,BLANCHED_USING,3,2
116,RETAINS_GERMINATIVE_CAPACITY_FOR,3,3
101,LEAD_PIPE_MADE_OF,3,3
135,RADISH_GROWN_AND_WATERED,3,3
23,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,3,3
145,IS_DIFFICULT_TO_DETERMINE_FOR,2,1
71,CULTIVATED_VARIETY,2,2
140,SPROUTS_IN,2,2
75,HAS_PULLEY,2,2
61,RESULTS_IN,2,2
57,ENCROACHES_WITH,2,2
93,GROWTH_RESTRICTED_IN,2,2
94,IS_A_NATIVE_OF,2,2
92,BENEFITS_ACCESSIBILITY,2,2
64,HAD_COMPETITION_OPEN,2,2
80,TAKES_TIME_TO_BECOME_FERTILE_AND_EASY_TO_CULTIVATE,2,2
142,EDGE_WITH,2,2
46,PEOPLE_RELATIONSHIP_WORK_ALLOCATION,2,2
44,RECIPIENT_OF,2,2
95,COLLAR_SUNK_INTO_GROUND,2,1
132,LETTUCE_VARIETY_IS_RELATED_TO,2,2
26,HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE,2,2
102,COIFFES_IN_MONTH,2,2
15,AS_PARAPHRASED,2,2
24,DEEPENED,2,2
105,THINNING_METHOD,2,2
109,SEED_HARVESTING_METHOD,2,2
110,JUNE_ASSOCIATED_EVENT,2,2
113,BELL_MARKED_AT,2,2
117,LONG_BEFORE_RIPENING_ON_VINE,2,2
118,BEARS_FRUIT_IN,2,2
144,HAS_COSTLY_FEEDING_PRACTICE,2,1
7,PLANT_RETRANSPORTED_TO_BOARD,2,2
153,PERSIL_IS_SUBTYPE_OF,1,1
154,EXPOSURE_INFLUENCE_ON_GROWTH,1,1
155,SPECIFIC_TO_REGION,1,1
156,REGENERATED_AT,1,1
157,CAN_STILL_BE_PLANTED,1,1
158,TRANSLANTED_TWICE,1,1
159,CABBAGE_POMMENT_AGE,1,1
112,AFFECTED_BY_POLICE_BAN,1,1
115,ASSOCIATED_WITH_GARDENS_IN_PARIS,1,1
106,NEEDS_TO_BE_REMOVED_FROM_CLOCHES_WHEN_SUN_APPEARS,1,1
107,CAN_BE_FORCED_IN_NOVEMBER_WITH_16_CM_COMPOST_LAYER_AND_CLOVER,1,1
108,OPTIONALLY_ADDED,1,1
111,LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,1,1
121,BOUND_FOR_BLANCHING,1,1
123,FOUNDED_PRIZE,1,1
125,STEAM_CONTAINS_SOMETHING_HARMFUL,1,1
126,DOES_NOT_NEED_TRANSPLANTING_DUE_TO_SOIL_CONDITION,1,1
127,MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,1,1
96,LACKS_INHERENT_QUALITY_OF,1,1
97,GROWTH_RATE_COMPARISON,1,1
98,YIELDS_IN,1,1
99,DESTROYED_IF_NOT_SPARRED_FOR_SEED,1,1
100,IS_A,1,1
103,RARELY_MARRY_OUTSIDE_OF,1,1
129,PRODUCE_LARGE_ROOTS_IN_THE_WINTER,1,1
131,FIX,1,1
88,HAIR_FAVORABLE_FOR_GROWTH_IN,1,1
89,RENEWED_APPEAL,1,1
91,ESTABLISHED_IN,1,1
82,SECOND_PLANTING_STUNTS_GROWTH,1,1
86,IS_A_MEMBER_OF,1,1
87,GEUREA_FAMILY_CONTAINS,1,1
137,EXCELLENT_QUALITY,1,1
138,RELIGIOUS_CEREMONY_ATTENDED_BY,1,1
143,AIMED_AT_PRODUCING_MANUAL_FOR,1,1
72,MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL,1,1
77,TRENCH_BEDDED_WITH,1,1
49,PEST_FEAR_HEAT,1,1
55,WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,1,1
43,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,1,1
146,LETTUCE_NEVER_REPLACED,1,1
147,EXTENDS_INTO_PATHS,1,1
148,WATERCRESS_SORREL_RELATED_TO,1,1
151,COMPLETELY_MILLED_TO_BLEACH,1,1
