cluster_id,representative,total_count,members
4,CAN_BE_AFFECTED_BY,255,3
6,PLANTED_IN,100,1
22,IS_PART_OF,14,2
3,IS_REPLACED_BY,12,2
10,HAS_GROWTH_STAGE,12,1
18,AVAILABLE_IN,7,1
17,MANNES_CONTAIN,6,1
20,CONTINUE_TO_BE_TRANSPLANTED,6,1
7,PRICED_AT,5,1
1,REMOVED_FROM,3,1
0,USES_TO_MAKE_MULCH,3,1
26,INTRODUCED_CROP_INTO_MARKET_GARDENING,3,1
5,-has_part-relationship,3,1
8,IS_NOT_GROWN,3,1
38,PREFERRED_FOR,2,1
12,BLANCHED_USING,2,1
14,GERMINATES_FOR,2,1
23,COLLAR_SUNK_INTO_GROUND,2,1
9,IS_A_NATIVE_OF,1,1
2,RECIPIENT_OF,1,1
16,JUNE_ASSOCIATED_EVENT,1,1
15,PEST_FEAR_HEAT,1,1
21,GEUREA_FAMILY_CONTAINS,1,1
19,EDGE_WITH,1,1
11,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,1,1
13,BELL_MARKED_AT,1,1
25,RARELY_MARRY_OUTSIDE_OF,1,1
24,LEAD_PIPE_MADE_OF,1,1
28,LONG_BEFORE_RIPENING_ON_VINE,1,1
27,WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,1,1
30,BEARS_FRUIT_IN,1,1
31,MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,1,1
32,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,1,1
29,WINTER_CHERVIL_SOWN_IN,1,1
33,RADISH_GROWN_AND_WATERED,1,1
34,KNOWN_AS,1,1
36,WATERCRESS_SORREL_RELATED_TO,1,1
35,AIMED_AT_PRODUCING_MANUAL_FOR,1,1
37,PERSIL_IS_SUBTYPE_OF,1,1
39,CABBAGE_POMMENT_AGE,1,1
40,LETTUCE_NEVER_REPLACED,1,1
41,FOUNDED_PRIZE,1,1
