cluster_id,name,count,representative
0,RECOMMENDED_FOR,2,RECOMMENDED_FOR
1,COMPANION_PLANT_FOR,2,COMPANION_PLANT_FOR
2,MADE_FROM,3,MADE_FROM
3,CUT_AT,2,CUT_AT
4,USED_WITH,19,USED_WITH
5,WATERED_WITH,4,WATERED_WITH
6,REJECTED_BY,1,REJECTED_BY
7,PLANT_RETRANSPORTED_TO_BOARD,1,PLANT_RETRANSPORTED_TO_BOARD
8,SLIDE_AGAINST,1,SLIDE_AGAINST
9,DIFFERS_IN_RUNNIG_FROM,4,DIFFERS_IN_RUNNIG_FROM
10,IS_TYPE_OF,9,IS_TYPE_OF
11,COVERED_WITH,39,IS_COVERED_WITH
11,IS_COVERED_WITH,39,IS_COVERED_WITH
12,PLANTED_IN,100,PLANTED_IN
13,SOIL_TYPE_FOR_CROP,2,SOIL_TYPE_FOR_CROP
14,AFFECTED_BY,85,CAN_BE_AFFECTED_BY
14,CAN_BE_AFFECTED_BY,85,CAN_BE_AFFECTED_BY
14,IS_AFFECTED_BY,85,CAN_BE_AFFECTED_BY
15,AS_PARAPHRASED,1,AS_PARAPHRASED
16,IS_RELATED_TO,15,IS_RELATED_TO
16,RELATED_TO,15,IS_RELATED_TO
17,IS_LOCATED_IN,15,IS_LOCATED_IN
17,LOCATED_IN,15,IS_LOCATED_IN
18,RAISED_ON,2,RAISED_ON
19,RELIES_ON,1,RELIES_ON
20,INTRODUCED_CROP_INTO_MARKET_GARDENING,3,INTRODUCED_CROP_INTO_MARKET_GARDENING
21,PRECEDES,1,PRECEDES
22,IS_PART_OF,7,IS_PART_OF
22,PART_OF,7,IS_PART_OF
23,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,1,AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION
24,DEEPENED,1,DEEPENED
25,PRICED_AT,5,PRICED_AT
26,HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE,1,HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE
27,PRODUCES,3,PRODUCES
28,TURNS_THE,1,TURNS_THE
29,REMOVED_FROM,3,REMOVED_FROM
30,SET_SEED_IN,1,SET_SEED_IN
31,CLEANED_WITH,1,CLEANED_WITH
32,CROP_TYPE,6,CROP_TYPE
33,SELECTED_FROM,1,SELECTED_FROM
34,SPACED-apart,2,SPACED-apart
34,SPACED_APART,2,SPACED-apart
35,MANNES_CONTAIN,6,MANNES_CONTAIN
36,SUPERIOR_TO,2,SUPERIOR_TO
37,IS_PROTECTED_FROM,7,IS_PROTECTED_FROM
37,PROTECTED_FROM,7,IS_PROTECTED_FROM
38,MANURE_TYPE_COMPARISON,2,MANURE_TYPE_COMPARISON
39,ARE_WARMED_UP_FROM_MONTH,2,ARE_WARMED_UP_FROM_MONTH
40,CONTAINS,9,CONTAINS
41,IS_REPLACED_BY,6,IS_REPLACED_BY
41,REPLACED_BY,6,IS_REPLACED_BY
42,TREATED_WITH,20,TREATED_WITH
43,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,1,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA
44,RECIPIENT_OF,1,RECIPIENT_OF
45,HAS_TIMBER_SUPPORTS,1,HAS_TIMBER_SUPPORTS
46,PEOPLE_RELATIONSHIP_WORK_ALLOCATION,1,PEOPLE_RELATIONSHIP_WORK_ALLOCATION
47,BLANCHED_USING,2,BLANCHED_USING
48,SEED_CHARACTERISTIC,3,SEED_CHARACTERISTIC
49,PEST_FEAR_HEAT,1,PEST_FEAR_HEAT
50,COOLING_LOCATION,1,COOLING_LOCATION
51,HAS_TIME_TO_MATURITY,2,HAS_TIME_TO_MATURITY
52,COSTS_ASSOCIATED_WITH_EQUIPMENT,2,COSTS_ASSOCIATED_WITH_EQUIPMENT
53,GERMINATES_FOR,2,GERMINATES_FOR
54,CAN_BE_LEFT_IN,2,CAN_BE_LEFT_IN
54,LEFT_IN,2,CAN_BE_LEFT_IN
