raw_name,normalized_form
IS_A,
ABSORBS_HEAT_FROM,absorbs heat from
ADJACENT_IN_FIELD_LAYOUT,adjacent in field layout
AFFECTED_BY,affected by
CAN_BE_AFFECTED_BY,affected by
IS_AFFECTED_BY,affected by
AFFECTED_BY_AGE,affected by age
AFFECTED_BY_COMPETITION_FROM_OUTSIDE_REGION,affected by competition from outside region
AFFECTED_BY_CONDITION,affected by condition
AFFECTED_BY_DISEASE,affected by disease
AFFECTED_BY_ENVIRONMENTAL_CONDITION,affected by environmental condition
AFFECTED_BY_ENVIRONMENTAL_CONDITIONS,affected by environmental conditions
AFFECTED_BY_FROST,affected by frost
AFFECTED_BY_MANURE_FERTILITY,affected by manure fertility
AFFECTED_BY_MELON_PRUNING,affected by melon pruning
AFFECTED_BY_MUSHROOM_GROWTH,affected by mushroom growth
AFFECTED_BY_PEST,affected by pest
AFFECTED_BY_PEST_OR_DISEASE,affected by pest or disease
AFFECTED_BY_PESTS,affected by pests
AFFECTED_BY_POLICE_BAN,affected by police ban
AFFECTED_BY_PRACTICES,affected by practices
AFFECTED_BY_ROT,affected by rot
AFFECTED_BY_SEASONAL_CHANGES,affected by seasonal changes
AFFECTED_BY_SNOW,affected by snow
AFFECTED_BY_TEMPERATURE,affected by temperature
AFFECTED_BY_WATER_LOVING,affected by water loving
AFFECTED_BY_WEATHER,affected by weather
AFFECTED_BY_WEATHER_CONDITION,affected by weather condition
AFFECTED_BY_WEATHER_CONDITIONS,affected by weather conditions
AFFECTS,affects
AFFECTS_ADVANCEMENT_OF,affects advancement
AFFECTS_CROP,affects crop
AFFECTS_CROP_GROWTH,affects crop growth
AFFECTS_GROWTH,affects growth
AFFECTS_GROWTH_OF,affects growth
AFFECTS_THE_GROWTH_OF,affects growth
AFFECTS_LOCAL_MARKET_GARDENERS_COMPETITIVENESS_DUE_TO_FACTOR,affects local market gardeners competitiveness due to factor
AFFECTS_QUALITY_OF,affects quality
AFFECTS_YIELD,affects yield
AFFTECTED_BY_DISEASE,afftected by disease
AIMED_AT_PRODUCING_MANUAL_FOR,aimed at producing manual for
ALLOWED_TO_GROW,allowed to grow
IS ALSO KNOWN AS,also known as
ALTERNATIVE_TO,alternative to
ARE_ALTERNATIVELY_lined_WITH,alternatively lined with
ALTERNATIVELY_PLANTED_WITH,alternatively planted with
ALTERNATIVELY_PREFFERED_FOR,alternatively preffered for
APPLIED_AT,applied at
APPLIED_IN,applied in
APPLIED_TO,applied to
APPLY_TREATMENT_ON_AREA,apply treatment on area
ARElined_WITH,arelined with
IS_ARRANGED_ALONG_THE_WALLS_OF,arranged along walls
ARRANGED_IN,arranged in
ARRANGED_UNDERNEATH_OF,arranged underneath
AS_PARAPHRASED,as paraphrased
ASSEMBLED_INTO,assembled into
ARE_ASSOCIATED_WITH,associated with
ASSOCIATED_WITH,associated with
ASSOCIATED_WITH_FARM_PRACTICE,associated with farm practice
ASSOCIATED_WITH_GARDENS_IN_PARIS,associated with gardens in paris
ASSOCIATED_WITH_INSTITUTION_OR_WORKER,associated with institution or worker
ASSOCIATED_WITH_SOIL_CONDITIONS,associated with soil conditions
IS_ATTACHED_TO,attached to
AUTHORED_BY,authored by
AVAILABLE_ALMOST_ALL_YEAR_ROUND,available almost all year round
AVAILABLE_IN,available in
AVAILABLE_IN_ABUNDANCE,available in abundance
IS_AVAILABLE_IN_MONTH,available in month
AWARDED_BY,awarded by
AWARDED_WITH,awarded with
BASED_ON_DESIRE_FOR_PUBLICATION,based on desire for publication
BASED_ON_PROGRAM_OF,based on program
BEARS_APPLES_IN,bears apples in
BEARS_FRUIT_IN,bears fruit in
BEGINS_AT_MONTH_OF,begins at month
BELL_MARKED_AT,bell marked at
BELL_PLACEMENT_MONTH,bell placement month
BELONG_TO_SAME_GENUS,belong to same genus
BELONGS_TO,belongs to
BELONGS_TO_FAMILY,belongs to family
BELONGS_TO_FAMILY_SECTION,belongs to family section
BELONGS_TO_THE_SAME_PLANT_TYPE,belongs to same plant type
BELONGS_TO_SECTION,belongs to section
BENEFICIAL_FOR,beneficial for
IS_BENEFICIAL_FOR,beneficial for
BENEFITS_ACCESSIBILITY,benefits accessibility
BENEFITS_FROM,benefits from
BLANCHED_USING,blanched using
BLANCHES_FROM,blanches from
BOUND_FOR_BLANCHING,bound for blanching
BURIED_WITH,buried with
CABBAGE_POMMENT_AGE,cabbage pomment age
CALAISSED_FROM,calaissed from
IS_CALLED,called
CAN_MEASURE_TEMPERATURE,can measure temperature
CAN_REACH_TEMPERATURE,can reach temperature
CAN_STILL_BE_PLANTED,can still be planted
CAN_WITHSTAND,can withstand
CANTALOUPE_CROP_OF,cantaloupe crop
CARRIED_ON,carried on
CARRIES,carries
