cluster_id,name,count,representative,representative_llm,representative_llm_free
0,EXPOSED_TO_AIR_AROUND,1,EXPOSED_TO_AIR_AROUND,EXPOSED_TO_AIR_BY_MEANS_OF,EXPOSED_TO_AIR
0,EXPOSED_TO_AIR_BY_MEANS_OF,1,EXPOSED_TO_AIR_AROUND,EXPOSED_TO_AIR_BY_MEANS_OF,EXPOSED_TO_AIR
1,PREFERRED_OVER,2,PREFERRED_OVER,PREFERRED_OVER,PREFERENCE_RELATION
1,IS_PREFERRED_IN,1,PREFERRED_OVER,PREFERRED_OVER,PREFERENCE_RELATION
2,SPACED-apart,2,SPACED-apart,SPACED-apart,SPACED_APART
2,SPACED_BY_DISTANCE,1,SPACED-apart,SPACED-apart,SPACED_APART
3,HAS_VARIETY,6,HAS_VARIETY,HAS_VARIETY,HAS_VARIETY
3,HAS_VARIETIES,1,HAS_VARIETY,HAS_VARIETY,HAS_VARIETY
4,RAISED_ON,2,RAISED_ON,RAISED_ON,RAISED_IN_RELATION_TO
4,RAISED_ABOVE,1,RAISED_ON,RAISED_ON,RAISED_IN_RELATION_TO
5,CROP_GROWN_FOR,1,CROP_GROWN_FOR,CULTIVATED_FOR,GROWN_FOR_PURPOSE
5,CULTIVATED_FOR,1,CROP_GROWN_FOR,CULTIVATED_FOR,GROWN_FOR_PURPOSE
6,PLANTED_IN,100,PLANTED_IN,PLANTED_IN,PLANTED_AT
6,PLANTED_AT,6,PLANTED_IN,PLANTED_IN,PLANTED_AT
6,PLANTED_ON,5,PLANTED_IN,PLANTED_IN,PLANTED_AT
7,REQUIRES_ADDITIONAL_LABOR,1,REQUIRES_LABOR,REQUIRES_LABOR,REQUIRES_LABOR
7,REQUIRES_LABOR,1,REQUIRES_LABOR,REQUIRES_LABOR,REQUIRES_LABOR
8,HARVESTED_IN_SEASON,1,HARVESTED_IN_SEASON,HARVESTED_IN_SEASON,HARVESTING_TIME
8,CAN_BE_HARVESTED_IN_SUMMER,1,HARVESTED_IN_SEASON,HARVESTED_IN_SEASON,HARVESTING_TIME
9,GROWN_BY,3,GROWN_BY,GROWN_FOR,GROWN_FOR_OR_BY
9,GROWN_FOR,1,GROWN_BY,GROWN_FOR,GROWN_FOR_OR_BY
10,CONTAIN,1,CONTAIN,CONTAIN,CONTAINS
10,CONTAINING,1,CONTAIN,CONTAIN,CONTAINS
11,GROWN_AFTER,2,GROWN_AFTER,GROWS_AFTER,GROWS_AFTER
11,GROWS_AFTER,1,GROWN_AFTER,GROWS_AFTER,GROWS_AFTER
12,IS_RELATED_TO,15,IS_RELATED_TO,IS_RELATED_TO,IS_RELATED_TO
12,RELATES_TO,4,IS_RELATED_TO,IS_RELATED_TO,IS_RELATED_TO
13,WATERED_WITH,4,WATERED_WITH,WATERED_BY,WATERED_WITH_OR_BY
13,WATERED_BY,3,WATERED_WITH,WATERED_BY,WATERED_WITH_OR_BY
13,WATERED_IN,3,WATERED_WITH,WATERED_BY,WATERED_WITH_OR_BY
13,WATERED_ON,1,WATERED_WITH,WATERED_BY,WATERED_WITH_OR_BY
14,HARVESTED_FROM,13,HARVESTED_FROM,HARVESTED_FROM,HARVESTING_SOURCE
14,IS_HARVESTED_IN,12,HARVESTED_FROM,HARVESTED_FROM,HARVESTING_SOURCE
14,HARVESTED_AT,5,HARVESTED_FROM,HARVESTED_FROM,HARVESTING_SOURCE
14,IS_HARVESTED_BY,1,HARVESTED_FROM,HARVESTED_FROM,HARVESTING_SOURCE
15,CUT_BY,1,CUT_BY,CUT_WITH,CUT_USING
15,CUT_WITH,1,CUT_BY,CUT_WITH,CUT_USING
16,HARVESTED_ON_DATE,1,HARVESTED_ON_DATE,HARVESTED_ON_DATE,HARVESTED_ON_DATE
16,HARVESTED_ON_END_DATE,1,HARVESTED_ON_DATE,HARVESTED_ON_DATE,HARVESTED_ON_DATE
17,APPLIED_AT,1,APPLIED_AT,APPLIED_TO,APPLIED_ON
17,APPLIED_IN,1,APPLIED_AT,APPLIED_TO,APPLIED_ON
17,APPLIED_TO,1,APPLIED_AT,APPLIED_TO,APPLIED_ON
18,CAN_BE_PLANTED_IN_MONTH,9,CAN_BE_PLANTED_IN_MONTH,CAN_BE_PLANTED_IN_MONTH,PLANTING_SCHEDULE
18,ARE_SOWN_IN_MONTH,4,CAN_BE_PLANTED_IN_MONTH,CAN_BE_PLANTED_IN_MONTH,PLANTING_SCHEDULE
19,COVERED_WITH_SOIL,1,FILLED_WITH_SOIL,COVERED_WITH_SOIL,COVERED_OR_FILLED_WITH_SUBSTANCE
19,FILLED_WITH_SOIL,1,FILLED_WITH_SOIL,COVERED_WITH_SOIL,COVERED_OR_FILLED_WITH_SUBSTANCE
20,REQUIRES_WATERING,3,REQUIRES_WATERING,NEEDS_WATERING,REQUIRES_WATERING
20,NEEDS_WATERING,1,REQUIRES_WATERING,NEEDS_WATERING,REQUIRES_WATERING
20,REQUIRES_FREQUENT_WATERING,1,REQUIRES_WATERING,NEEDS_WATERING,REQUIRES_WATERING
20,REQUIRES_REGULAR_WATERING,1,REQUIRES_WATERING,NEEDS_WATERING,REQUIRES_WATERING
21,PLANTED_UNDER_SPECIFIC_CONDITIONS,3,PLANTED_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS
21,CULTIVATED_UNDER_SPECIFIC_CONDITIONS,1,PLANTED_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS
21,PLANTED_IN_SPECIFIC_ENVIRONMENTAL_CONDITIONS,1,PLANTED_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS,PLANTED_UNDER_SPECIFIC_CONDITIONS
22,REQUIRES_PROTECTION_FROM,3,REQUIRES_PROTECTION_FROM,REQUIRES_PROTECTION_FROM,REQUIRES_PROTECTION
22,NEEDS_PROTECTION,1,REQUIRES_PROTECTION_FROM,REQUIRES_PROTECTION_FROM,REQUIRES_PROTECTION
23,PLANTED_IN_BED,1,PLANTED_IN_BED,PLANTED_IN_BED,PLANTED_IN_BED
23,PLANTED_IN_BED_WITH_SPACING,1,PLANTED_IN_BED,PLANTED_IN_BED,PLANTED_IN_BED
24,PROTECTED_AGAINST_WEATHER,1,PROTECTED_AGAINST_WEATHER,PROTECTED_FROM_WEATHER_CONDITION,PROTECTED_FROM_WEATHER
24,PROTECTED_FROM_WEATHER_CONDITION,1,PROTECTED_AGAINST_WEATHER,PROTECTED_FROM_WEATHER_CONDITION,PROTECTED_FROM_WEATHER
25,CROP_VARIEIES,2,CROP_VARIEIES,CROP_VARIEIES,CROP_VARIETY
25,CROP_VARIEYT,1,CROP_VARIEIES,CROP_VARIEIES,CROP_VARIETY
26,PLANTED_ALONGSIDE,5,PLANTED_ALONGSIDE,PLANTED_NEAR,PLANTED_IN_RELATION_TO
26,PLANTED_NEAR,1,PLANTED_ALONGSIDE,PLANTED_NEAR,PLANTED_IN_RELATION_TO
27,CULTIVATED_BY,2,CULTIVATED_BY,CULTIVATED_BY,CULTIVATION_SOURCE
27,CULTIVATED_FROM,1,CULTIVATED_BY,CULTIVATED_BY,CULTIVATION_SOURCE
28,CULTIVATED_ON,3,CULTIVATED_ON,CULTIVATED_IN,CULTIVATED_AT
28,CULTIVATED_AT,2,CULTIVATED_ON,CULTIVATED_IN,CULTIVATED_AT
28,CULTIVATED_IN,2,CULTIVATED_ON,CULTIVATED_IN,CULTIVATED_AT
29,COVERED_WITH_MANURE,1,COVERED_WITH_MANURE,COVERED_WITH_MANURE,COVERED_IN_MANURE
29,MANURE_LAYERED_OVER,1,COVERED_WITH_MANURE,COVERED_WITH_MANURE,COVERED_IN_MANURE
30,USED_IN_PRACTICE,1,USED_IN_PRACTICE,USED_IN_PRACTICE,USED_IN_PRACTICE
30,USED_WITH_PRACTICE,1,USED_IN_PRACTICE,USED_IN_PRACTICE,USED_IN_PRACTICE
31,PEST_AFFECTED_BY,5,PEST_AFFECTED_BY,AFFECTED_BY_PEST,AFFECTED_BY_PEST
31,AFFECTED_BY_PEST,1,PEST_AFFECTED_BY,AFFECTED_BY_PEST,AFFECTED_BY_PEST
