cluster_id,representative,total_count,members
15,PLANTED_IN,247,86
1,IS_USED_IN,97,50
8,IS_LOCATED_IN,76,43
13,IS_AFFECTED_BY,68,30
18,COVERED_WITH,30,17
21,CONTAINS,29,14
19,REQUIRES_CONDITION,20,18
24,GROWTH_STAGES,20,15
49,CROP_TYPE,20,8
17,PROTECTED_BY,18,15
30,WATERED_BY,18,14
26,IS_VARIETY_OF,15,4
12,PLANTED_ON_DATE,15,14
4,COMPARED_TO,13,9
9,SOIL_TYPES,13,13
5,IS_MADE_OF,13,6
54,HAS_CHARACTERISTICS,12,11
6,PEOPLE_RELATIONSHIPS,12,10
102,AFFECTS_PLANT,12,12
2,USEFUL_FOR,11,7
0,MAINTAINED_WITH,8,8
32,HEATS_UP_FOR,7,7
51,TREATED_WITH,7,4
3,REDUCED_TO,7,7
10,GREY_ROMAINE_IS_PLANTED_IN,7,6
80,TRANSPLANTED_UNDER,7,4
34,IS_NOT_GROWN,6,4
36,PRODUCES,6,4
82,CUTS_WEEDS_FROM,6,6
11,BREAKS_UP_TO_DEPTH,5,5
43,SEASONAL_ASSOCIATION,5,3
37,PRECEDES,4,4
42,COLLECTED_VIA,4,4
7,MOVE_BACK,4,4
28,MANURE_APPLIED_ONTO,4,4
25,REPLACED_BY,4,3
104,MARKET_GARDENER_ROLE,4,4
92,LAND_PRICE_AT,4,2
47,SPACED_AT,4,4
73,FARMING_PRACTICES,4,4
27,AWARDED_MEDAL,4,3
14,IS_PRONE_TO,4,4
48,GROWS_INTO_APPLES,3,3
101,SELECTED_AT,3,3
22,EMERGED_AT,3,3
45,MANNES_CONTAIN,3,2
105,MASTER_OF,3,1
53,HAS_FRAME,3,3
55,LATER_THAN_YORK_CABBAGE,3,3
57,SPREAD_OVER,3,3
70,LETTUCE_GROWTH_LOCATION,3,3
44,OPENED_DURING_DAYTIME,2,2
40,NEW_LAND_PREPARATION_REQUIRES,2,2
39,BLACK_RADISH_DOESNT_GO_TO_SEED,2,2
20,ROUTED_ONTEENS,2,2
16,BELL_MARKED_AT,2,2
23,CHILDREN_FOLLOW_IN_PARENT_PROFESSION,2,2
29,ADOS_BOUND_BY_STRING,2,2
38,SEED_TEMP_REQUIREMENT,2,2
31,RENT_AT,2,2
35,EMPLOYS,2,2
41,COVERED_AT_GROUND_LEVEL_WITH_AT_TIME_OF_HEAVY_FROSTS,2,2
61,EQUIPMENT_COSTS,2,2
84,MATURITY_REACHED_AT,2,2
52,BROKEN_UP_WITH,2,2
88,TURNIPS_AND_RADISHES_HARVESTED_IN_SUMMER,2,1
100,SPENT_BY_ESTABLISHMENT,2,2
98,PEOPLE_CONTRIBUTIONS,2,1
91,REQUIRES_MORE_HUMAN_RESOURCES_THAN,2,1
93,INCREASE_FERTILITY_OF,2,2
56,WINTER_CHERVIL_SOWN_IN,2,2
76,HARDENED_IN,2,2
46,SOLD_TO,2,2
50,PULL_AND_REPLANT,2,2
33,LIFTED_FROM_NURSERY_WITH_HOE_AND_PULLED_OUT_OF_GROUND,1,1
60,IS_EFFECTIVE_NO_LONGER_THAN_FIVE_OR_SIX_METERS_FROM_THE_WALL,1,1
58,PEST_DISEASE_RELATIONSHIP,1,1
59,BELONGS_TO_THE_CRUCIFEROUS_FAMILY,1,1
77,LEAF_SHAPE_DIFFERENCE,1,1
75,COIFFEEED_IN,1,1
74,CAULIFLOWER_WAS_PLANTED_IN,1,1
72,SETUP_FRAMEWORK,1,1
71,FOUNDED_PRIZE,1,1
67,FEARLESS_OF,1,1
68,ALLEVIATES_BITTERNESS,1,1
69,HOE_USED_FOR_EDGE,1,1
65,PREFERENTIAL_GROWTHCONDITIONS,1,1
64,MASTER_WORKER_ROLE_IN_FIELD_ARRANGEMENT,1,1
63,THICKNESS_OF_SOLILAYER,1,1
66,BEARS_FRUIT,1,1
62,READY_TO_SEND_TO_MARKET_IN,1,1
83,MULCH_RELATIONSHIP,1,1
85,DEGENERATESINTO,1,1
78,PEAS_GROW_FROM,1,1
90,CORE_REMOVED_TO_PRESERVE,1,1
86,IS_PERENNIAL_IN,1,1
87,INPUT_SOURCE,1,1
89,CHICORY_GROWN_WITH,1,1
81,STRAW_PLUGS_USE_FOR,1,1
79,DOES_NOT_BREAK_UP_IF_TOO_HARD_OR_COMPACT,1,1
97,DOORMAT_CONSTRUCTED_USING,1,1
94,IS_TYPE_OF,1,1
99,IMROVES_SOIL_CONDITION,1,1
95,RELIGIOUS_CEREMONY_ATTENDED_BY,1,1
96,SEED_COVER_METHOD,1,1
103,OPENED_COMPETITION,1,1
106,SETS_SEED_LESS_QUICKLY_THAN,1,1
107,ESCAROLE_BOUND_WITH,1,1
108,SAVINGS_BANK_DEPOSITOR,1,1
109,PRECAUTIONARY_MEASURE_DURING_PLANT_TRANSFER,1,1
