raw_name,normalized_for_embedding,count
ABSORBS_HEAT_IN,absorbs heat in,1
ADOS_BOUND_BY_STRING,ados bound by string,1
ADOS_CONSTRUCTED_WITH,ados constructed with,1
ADOS_INCLINED_TO,ados inclined to,1
IS_AFFECTED_BY,affected by,26
AFFECTED_BY_CHANGES_IN,affected by changes in,1
AFFECTED_BY_CONDITIONS,affected by conditions,1
AFFECTED_BY_DEHUSKING,affected by dehusking,4
AFFECTED_BY_FROST,affected by frost,1
AFFECTED_BY_FROSTS,affected by frosts,1
AFFECTED_BY_GROWTH_STAGE,affected by growth stage,1
AFFECTED_BY_IN_MONTHS_OF_PLANTING,affected by in months planting,1
AFFECTED_BY_INSECTS_OR_MOLLUSCS,affected by insects or molluscs,1
AFFECTED_BY_PESTS,affected by pests,1
AFFECTED_BY_POSITIONING,affected by positioning,1
AFFECTED_BY_QUALITY,affected by quality,1
AFFECTED_BY_SEASON,affected by season,1
AFFECTED_BY_SHADING,affected by shading,1
AFFECTED_BY_SOIL_CONDITION,affected by soil condition,1
AFFECTED_BY_WATERING,affected by watering,1
AFFECTED_BY_WEATHER,affected by weather,1
AFFECTED_BY_WEATHER_CONDITION,affected by weather condition,1
AFFECTED_BY_WEATHER_CONDITIONS,affected by weather conditions,5
AFFECTS,affects,4
AFFECTS_DEVELOPMENT_OF,affects development,1
AFFECTS_PLANT,affects plant,1
AFFECTS_PLANT_GROWTH,affects plant growth,1
AFFECTS_SOIL_MOISTURE,affects soil moisture,1
AFFECTSNEGATIVELY,affectsnegatively,1
ALLEVIATES_BITTERNESS,alleviates bitterness,1
ALTERNATIVE_OF,alternative,1
ALTERNATIVELY_FOR_SOIL_TYPE,alternatively for soil type,1
APPLIED_WITH,applied with,1
APPOINTED_BY,appointed by,1
ASSOCIATED_WITH_PROFESSION,associated with profession,1
ATTACHED_TO,attached to,1
ATTACHED_TO_PROFESSION,attached to profession,1
ATTACHES_TO_AND_CAN_BREAK,attaches to and can break,1
AUTHORED_BY,authored by,5
AWARDED_MEDAL,awarded medal,2
AWARDED_ON,awarded on,1
BASED_ON,based on,1
BEARS_FRUIT,bears fruit,1
BELL_MARKED_AT,bell marked at,1
BELONGS_TO,belongs to,1
BELONGS_TO_THE_CRUCIFEROUS_FAMILY,belongs to cruciferous family,1
BLACK_RADISH_DOESNT_GO_TO_SEED,black radish doesnt go to seed,1
BLACK_RADISH_REQUIRES_SHIELDING_FROM_WINTER,black radish requires shielding from winter,1
BOARD_RETAINS_MOISTURE,board retains moisture,1
BREAKS_UP_TO_DEPTH,breaks up to depth,1
BROKEN_UP_WITH,broken up with,1
BUILT_AGAINST,built against,1
BURIED_AT_DEPTH_OF,buried at depth,1
CAULIFLOWER_WAS_PLANTED_IN,cauliflower was planted in,1
CHANGED_NAME_FROM,changed name from,1
CHECKED_DURING_NIGHTTIME,checked during nighttime,1
CHERVIL_CUT_AND_SOLD_IN,chervil cut and sold in,1
CHICORY_GROWN_WITH,chicory grown with,1
CHILDREN_FOLLOW_IN_PARENT_PROFESSION,children follow in parent profession,1
COIFFEEED_IN,coiffeeed in,1
COLLECTED_VIA,collected via,1
COMPARABLE_TO,comparable to,1
COMPARED_TO,compared to,3
CAN_BE_COMPETED_WITH_BY,competed with by,1
IS_COMPOSED_OF,composed,1
COMPRISES_COMPONENTS,comprises components,1
COMPRISES_PARTS,comprises parts,3
CONDUCTED_BY,conducted by,1
CONNECTED_TO,connected to,1
CONSUMED_DURING,consumed during,1
IS_CONTAINED_IN,contained in,1
CONTAINING_PANEL,containing panel,1
CONTAINS,contains,11
CONTAINS_LIVESTOCK,contains livestock,1
CONTAINS_MASS_OF,contains mass,1
CONTAINS_SOIL,contains soil,1
CONTAINS_VARIETIES_OF_PLANT,contains varieties plant,1
CONTRIBUTED_BY,contributed by,1
CORE_REMOVED_TO_PRESERVE,core removed to preserve,1
COUNTER_PLANTED_WITH,counter planted with,3
COVERED_AGAINST,covered against,1
COVERED_AT_GROUND_LEVEL_WITH_AT_TIME_OF_HEAVY_FROSTS,covered at ground level with at time heavy frosts,1
IS_COVERED_BY,covered by,1
COVERED_TO_MAINTAIN_COLOR,covered to maintain color,1
COVERED_WITH,covered with,9
COVERED_WITH_AT,covered with at,1
COVERED_WITH_AT_NIGHT,covered with at night,1
COVERS_SEEDLINGS_WITH,covers seedlings with,1
COVERS_SOIL_FOR,covers soil for,1
