raw_name,normalized_form
ABSORBS_HEAT_IN,absorbs heat in
ADOS_BOUND_BY_STRING,ados bound by string
ADOS_CONSTRUCTED_WITH,ados constructed with
ADOS_INCLINED_TO,ados inclined to
AFFECTED_BY,affected by
IS_AFFECTED_BY,affected by
AFFECTED_BY_CHANGES_IN,affected by changes in
AFFECTED_BY_CONDITIONS,affected by conditions
AFFECTED_BY_DEHUSKING,affected by dehusking
AFFECTED_BY_FROST,affected by frost
AFFECTED_BY_FROSTS,affected by frosts
AFFECTED_BY_GROWTH_STAGE,affected by growth stage
AFFECTED_BY_IN_MONTHS_OF_PLANTING,affected by in months planting
AFFECTED_BY_INSECTS_OR_MOLLUSCS,affected by insects or molluscs
AFFECTED_BY_PESTS,affected by pests
AFFECTED_BY_POSITIONING,affected by positioning
AFFECTED_BY_QUALITY,affected by quality
AFFECTED_BY_SEASON,affected by season
AFFECTED_BY_SHADING,affected by shading
AFFECTED_BY_SOIL_CONDITION,affected by soil condition
AFFECTED_BY_WATERING,affected by watering
AFFECTED_BY_WEATHER,affected by weather
AFFECTED_BY_WEATHER_CONDITION,affected by weather condition
AFFECTED_BY_WEATHER_CONDITIONS,affected by weather conditions
AFFECTS,affects
AFFECTS_DEVELOPMENT_OF,affects development
AFFECTS_PLANT,affects plant
AFFECTS_PLANT_GROWTH,affects plant growth
AFFECTS_SOIL_MOISTURE,affects soil moisture
AFFECTSNEGATIVELY,affectsnegatively
ALLEVIATES_BITTERNESS,alleviates bitterness
ALTERNATIVE_OF,alternative
ALTERNATIVELY_FOR_SOIL_TYPE,alternatively for soil type
APPLIED_WITH,applied with
APPOINTED_BY,appointed by
ASSOCIATED_WITH_PROFESSION,associated with profession
ATTACHED_TO,attached to
ATTACHED_TO_PROFESSION,attached to profession
ATTACHES_TO_AND_CAN_BREAK,attaches to and can break
AUTHORED_BY,authored by
AWARDED_MEDAL,awarded medal
AWARDED_ON,awarded on
BASED_ON,based on
BEARS_FRUIT,bears fruit
BELL_MARKED_AT,bell marked at
BELONGS_TO,belongs to
BELONGS_TO_THE_CRUCIFEROUS_FAMILY,belongs to cruciferous family
BLACK_RADISH_DOESNT_GO_TO_SEED,black radish doesnt go to seed
BLACK_RADISH_REQUIRES_SHIELDING_FROM_WINTER,black radish requires shielding from winter
BOARD_RETAINS_MOISTURE,board retains moisture
BREAKS_UP_TO_DEPTH,breaks up to depth
BROKEN_UP_WITH,broken up with
BUILT_AGAINST,built against
BURIED_AT_DEPTH_OF,buried at depth
CAULIFLOWER_WAS_PLANTED_IN,cauliflower was planted in
CHANGED_NAME_FROM,changed name from
CHECKED_DURING_NIGHTTIME,checked during nighttime
CHERVIL_CUT_AND_SOLD_IN,chervil cut and sold in
CHICORY_GROWN_WITH,chicory grown with
CHILDREN_FOLLOW_IN_PARENT_PROFESSION,children follow in parent profession
COIFFEEED_IN,coiffeeed in
COLLECTED_VIA,collected via
COMPARABLE_TO,comparable to
COMPARED_TO,compared to
CAN_BE_COMPETED_WITH_BY,competed with by
IS_COMPOSED_OF,composed
COMPRISES_COMPONENTS,comprises components
COMPRISES_PARTS,comprises parts
CONDUCTED_BY,conducted by
CONNECTED_TO,connected to
CONSUMED_DURING,consumed during
IS_CONTAINED_IN,contained in
CONTAINING_PANEL,containing panel
CONTAINS,contains
CONTAINS_LIVESTOCK,contains livestock
CONTAINS_MASS_OF,contains mass
CONTAINS_SOIL,contains soil
CONTAINS_VARIETIES_OF_PLANT,contains varieties plant
CONTRIBUTED_BY,contributed by
CORE_REMOVED_TO_PRESERVE,core removed to preserve
COUNTER_PLANTED_WITH,counter planted with
COVERED_AGAINST,covered against
COVERED_AT_GROUND_LEVEL_WITH_AT_TIME_OF_HEAVY_FROSTS,covered at ground level with at time heavy frosts
IS_COVERED_BY,covered by
COVERED_TO_MAINTAIN_COLOR,covered to maintain color
COVERED_WITH,covered with
COVERED_WITH_AT,covered with at
COVERED_WITH_AT_NIGHT,covered with at night
COVERS_SEEDLINGS_WITH,covers seedlings with
COVERS_SOIL_FOR,covers soil for
COVERS_WITH_LEAVES,covers with leaves
CROP_OF,crop
