,name,count
552,PLANTED_IN,84
266,GROWN_IN,57
7,AFFECTED_BY,57
283,GROWS_IN,28
140,COVERED_WITH,24
399,IS_HARVESTED_IN,15
786,TREATED_WITH,13
378,IS_AFFECTED_BY,12
435,IS_TYPE_OF,8
824,USES_EQUIPMENT,7
647,RELATES_TO,7
117,CONTAINS,7
276,GROWN_UNDER,7
459,LOCATED_IN,6
836,VARIETY_OF,6
159,CROP_PLANTING_RELATIONSHIP,6
547,PLANTED_AFTER,6
439,IS_VARIETY_OF,6
800,USED_FOR,6
616,PROTECTED_FROM,6
23,AFFECTED_BY_RELATIONSHIP,6
820,USED_WITH,6
734,SOWN_IN,6
822,USES,5
394,IS_FILLED_WITH,5
415,IS_PLANTED_IN,5
351,HAS_VARIETY,5
334,HAS_GROWTH_STAGE,5
420,IS_PROTECTED_BY,5
311,HARVESTED_IN,5
20,AFFECTED_BY_PEST_OR_DISEASE,5
197,DIFFERS_FROM,5
218,EQUIPPED_WITH,5
564,PLANTED_IN_ROWS,5
338,HAS_PART,5
533,PEST_AFFECTS_CROP,5
798,USED_BY,4
155,CROP_GROWTH_STAGE_RELATIONSHIP,4
783,TRANSPLANTED_INTO,4
794,TYPE_OF_CROP_VARIETY,4
784,TRANSPLANTED_TO,4
729,SOWN_AT,4
35,AFFECTED_BY_WEATHER_CONDITIONS,4
809,USED_IN,4
164,CROP_VARIETY,4
173,CULTIVATED_IN,4
436,IS_USED_FOR,4
161,CROP_TYPE,4
235,FLOWED_THROUGH,4
544,PLACED_ON,4
559,PLANTED_IN_MONTH,4
532,PEST_AFFECTED_BY,4
846,WATERED_BY,4
852,WATERED_WITH,4
97,CAUSES_DAMAGE_TO,4
34,AFFECTED_BY_WEATHER_CONDITION,3
785,TRANSPLANTED_UNDER,3
704,SEED_HARVESTED_FROM,3
572,PLANTED_ON_DATE,3
565,PLANTED_IN_SEASON,3
577,PLANTED_WITH,3
575,PLANTED_UNDER,3
662,REPLACED_WITH_REAL_RELATION_TYPE,3
667,REQUIRES,3
753,STORED_IN,3
424,IS_RELATED_TO,3
553,PLANTED_IN_AUTUMN,3
542,PLACED_IN,3
562,PLANTED_IN_POTTING_SOIL,3
548,PLANTED_AT,3
494,MIXED_WITH,3
486,MATURITY_TIME_IN_MONTHS,3
95,CAUSED_BY,3
469,MADE_OF,3
325,HAS_COST,3
371,INVOLVES_OPERATION,3
390,IS_COVERED_WITH,3
223,EXPOSED_TO,3
293,GROWTH_STAGE,3
291,GROWS_UNDER,3
279,GROWS,3
274,GROWN_ON,3
308,HARVESTED_FROM,3
102,COLOCATED_WITH,3
246,FRAME_SUPPORTS,3
322,HAS_CHARACTERISTICS,3
162,CROP_VARIEGY,3
170,CULTIVATED_DURING,3
176,CULTIVATED_USING,3
40,AFFECTS_GROWTH_OF,3
750,SPREAD_WITH,2
217,EQUIPMENT_USED_IN_STRUCTURE,2
702,SEED_COLLECTION_METHOD,2
225,FACE_SOUTH,2
699,SEEDLINGS_WERE_THINNED_OUT,2
709,SEED_STORAGE_LIFETIME,2
230,FERTILIZER_RELATIONSHIP,2
178,CULTIVATED_VARIETY,2
289,GROWS_ON,2
290,GROWS_TO_HEIGHT,2
273,GROWN_IN_SEQUENCE,2
676,REQUIRES_MORE_HUMAN_RESOURCES_THAN,2
281,GROWS_DURING,2
263,GROWN_AT_LOCATION,2
265,GROWN_FROM,2
686,REQUIRES_WATERING,2
715,SIMILAR_TO,2
163,CROP_VARIEIES,2
166,CULTIVATED,2
169,CULTIVATED_AT,2
151,CROP_GROWN,2
768,SYMPTOM_OF,2
765,SUPPORTED_BY,2
147,COVERS,2
838,WARMED_UP_IN_WINTER,2
113,CONSISTS_OF,2
848,WATERED_EVERY_X_DAYS_IN_CONDITION_Y,2
844,WATERED_AT,2
727,SOWED_ON,2
